bridge_route,marker,count,denominator,pct
canonical_elements,n,162,162,100.0
canonical_elements,metadata Elements,162,162,100.0
canonical_elements,mentions Euclid/Elements,161,162,99.4
canonical_elements,canonical/textual,161,162,99.4
canonical_elements,ancient/restoration,161,162,99.4
canonical_elements,method/demo/order,81,162,50.0
canonical_elements,access/pedagogy,34,162,21.0
canonical_elements,utility/practice,8,162,4.9
canonical_elements,translation,70,162,43.2
canonical_elements,correction,60,162,37.0
canonical_elements,augmentation,97,162,59.9
canonical_elements,selection,35,162,21.6
canonical_elements,visual aids,36,162,22.2
canonical_elements,general readers/lovers,4,162,2.5
canonical_elements,students,5,162,3.1
canonical_elements,surveyors/engineers,0,162,0.0
canonical_elements,military users,0,162,0.0
canonical_elements,universities/academies,3,162,1.9
canonical_elements,Jesuit,14,162,8.6
canonical_elements,engineer/practitioner role,5,162,3.1
euclidean_practical_geometry,n,67,67,100.0
euclidean_practical_geometry,metadata Elements,0,67,0.0
euclidean_practical_geometry,mentions Euclid/Elements,30,67,44.8
euclidean_practical_geometry,canonical/textual,40,67,59.7
euclidean_practical_geometry,ancient/restoration,24,67,35.8
euclidean_practical_geometry,method/demo/order,43,67,64.2
euclidean_practical_geometry,access/pedagogy,17,67,25.4
euclidean_practical_geometry,utility/practice,45,67,67.2
euclidean_practical_geometry,translation,7,67,10.4
euclidean_practical_geometry,correction,14,67,20.9
euclidean_practical_geometry,augmentation,26,67,38.8
euclidean_practical_geometry,selection,12,67,17.9
euclidean_practical_geometry,visual aids,28,67,41.8
euclidean_practical_geometry,general readers/lovers,9,67,13.4
euclidean_practical_geometry,students,0,67,0.0
euclidean_practical_geometry,surveyors/engineers,7,67,10.4
euclidean_practical_geometry,military users,2,67,3.0
euclidean_practical_geometry,universities/academies,1,67,1.5
euclidean_practical_geometry,Jesuit,4,67,6.0
euclidean_practical_geometry,engineer/practitioner role,4,67,6.0
professional_material_practical_arts,n,126,126,100.0
professional_material_practical_arts,metadata Elements,0,126,0.0
professional_material_practical_arts,mentions Euclid/Elements,8,126,6.3
professional_material_practical_arts,canonical/textual,41,126,32.5
professional_material_practical_arts,ancient/restoration,8,126,6.3
professional_material_practical_arts,method/demo/order,29,126,23.0
professional_material_practical_arts,access/pedagogy,23,126,18.3
professional_material_practical_arts,utility/practice,81,126,64.3
professional_material_practical_arts,translation,13,126,10.3
professional_material_practical_arts,correction,31,126,24.6
professional_material_practical_arts,augmentation,68,126,54.0
professional_material_practical_arts,selection,14,126,11.1
professional_material_practical_arts,visual aids,63,126,50.0
professional_material_practical_arts,general readers/lovers,13,126,10.3
professional_material_practical_arts,students,0,126,0.0
professional_material_practical_arts,surveyors/engineers,8,126,6.3
professional_material_practical_arts,military users,6,126,4.8
professional_material_practical_arts,universities/academies,0,126,0.0
professional_material_practical_arts,Jesuit,4,126,3.2
professional_material_practical_arts,engineer/practitioner role,11,126,8.7
usable_elements,n,31,31,100.0
usable_elements,metadata Elements,31,31,100.0
usable_elements,mentions Euclid/Elements,28,31,90.3
usable_elements,canonical/textual,28,31,90.3
usable_elements,ancient/restoration,27,31,87.1
usable_elements,method/demo/order,28,31,90.3
usable_elements,access/pedagogy,17,31,54.8
usable_elements,utility/practice,16,31,51.6
usable_elements,translation,3,31,9.7
usable_elements,correction,13,31,41.9
usable_elements,augmentation,21,31,67.7
usable_elements,selection,17,31,54.8
usable_elements,visual aids,8,31,25.8
usable_elements,general readers/lovers,0,31,0.0
usable_elements,students,9,31,29.0
usable_elements,surveyors/engineers,0,31,0.0
usable_elements,military users,0,31,0.0
usable_elements,universities/academies,1,31,3.2
usable_elements,Jesuit,10,31,32.3
usable_elements,engineer/practitioner role,1,31,3.2
