group,commentary_type,count,denominator,pct
Metadata Elements,ancient_humanist_scholia,36,286,12.6
Metadata Elements,clavius_jesuit_commentary,10,286,3.5
Metadata Elements,pedagogical_explanation,37,286,12.9
Metadata Elements,notes_annotations_observations,16,286,5.6
Metadata Elements,contracted_or_extracted_commentary,5,286,1.7
Metadata Elements,scholia_general,14,286,4.9
Metadata Elements,any_commentary_split,92,286,32.2
Non-Elements,ancient_humanist_scholia,8,557,1.4
Non-Elements,clavius_jesuit_commentary,6,557,1.1
Non-Elements,pedagogical_explanation,31,557,5.6
Non-Elements,notes_annotations_observations,37,557,6.6
Non-Elements,contracted_or_extracted_commentary,0,557,0.0
Non-Elements,scholia_general,1,557,0.2
Non-Elements,any_commentary_split,77,557,13.8
