group,commentary_type,count,denominator,pct
6,ancient_humanist_scholia,0,5,0.0
6,clavius_jesuit_commentary,0,5,0.0
6,pedagogical_explanation,0,5,0.0
6,notes_annotations_observations,0,5,0.0
6,contracted_or_extracted_commentary,0,5,0.0
6,scholia_general,0,5,0.0
6,any_commentary_split,0,5,0.0
duodecimo,ancient_humanist_scholia,1,30,3.3
duodecimo,clavius_jesuit_commentary,4,30,13.3
duodecimo,pedagogical_explanation,10,30,33.3
duodecimo,notes_annotations_observations,0,30,0.0
duodecimo,contracted_or_extracted_commentary,4,30,13.3
duodecimo,scholia_general,1,30,3.3
duodecimo,any_commentary_split,16,30,53.3
folio,ancient_humanist_scholia,11,54,20.4
folio,clavius_jesuit_commentary,1,54,1.9
folio,pedagogical_explanation,6,54,11.1
folio,notes_annotations_observations,4,54,7.4
folio,contracted_or_extracted_commentary,0,54,0.0
folio,scholia_general,3,54,5.6
folio,any_commentary_split,21,54,38.9
missing/unknown,ancient_humanist_scholia,2,18,11.1
missing/unknown,clavius_jesuit_commentary,0,18,0.0
missing/unknown,pedagogical_explanation,1,18,5.6
missing/unknown,notes_annotations_observations,1,18,5.6
missing/unknown,contracted_or_extracted_commentary,0,18,0.0
missing/unknown,scholia_general,0,18,0.0
missing/unknown,any_commentary_split,3,18,16.7
octavo,ancient_humanist_scholia,11,111,9.9
octavo,clavius_jesuit_commentary,4,111,3.6
octavo,pedagogical_explanation,12,111,10.8
octavo,notes_annotations_observations,6,111,5.4
octavo,contracted_or_extracted_commentary,1,111,0.9
octavo,scholia_general,5,111,4.5
octavo,any_commentary_split,32,111,28.8
quarto,ancient_humanist_scholia,11,67,16.4
quarto,clavius_jesuit_commentary,1,67,1.5
quarto,pedagogical_explanation,8,67,11.9
quarto,notes_annotations_observations,5,67,7.5
quarto,contracted_or_extracted_commentary,0,67,0.0
quarto,scholia_general,5,67,7.5
quarto,any_commentary_split,20,67,29.9
