group,commentary_type,count,denominator,pct
DUTCH,ancient_humanist_scholia,1,21,4.8
DUTCH,clavius_jesuit_commentary,1,21,4.8
DUTCH,pedagogical_explanation,8,21,38.1
DUTCH,notes_annotations_observations,0,21,0.0
DUTCH,contracted_or_extracted_commentary,0,21,0.0
DUTCH,scholia_general,0,21,0.0
DUTCH,any_commentary_split,10,21,47.6
ENGLISH,ancient_humanist_scholia,1,20,5.0
ENGLISH,clavius_jesuit_commentary,0,20,0.0
ENGLISH,pedagogical_explanation,5,20,25.0
ENGLISH,notes_annotations_observations,3,20,15.0
ENGLISH,contracted_or_extracted_commentary,0,20,0.0
ENGLISH,scholia_general,1,20,5.0
ENGLISH,any_commentary_split,9,20,45.0
FRENCH,ancient_humanist_scholia,4,53,7.5
FRENCH,clavius_jesuit_commentary,0,53,0.0
FRENCH,pedagogical_explanation,10,53,18.9
FRENCH,notes_annotations_observations,5,53,9.4
FRENCH,contracted_or_extracted_commentary,0,53,0.0
FRENCH,scholia_general,0,53,0.0
FRENCH,any_commentary_split,19,53,35.8
GERMAN,ancient_humanist_scholia,0,13,0.0
GERMAN,clavius_jesuit_commentary,0,13,0.0
GERMAN,pedagogical_explanation,2,13,15.4
GERMAN,notes_annotations_observations,0,13,0.0
GERMAN,contracted_or_extracted_commentary,0,13,0.0
GERMAN,scholia_general,0,13,0.0
GERMAN,any_commentary_split,2,13,15.4
GREEK,ancient_humanist_scholia,8,16,50.0
GREEK,clavius_jesuit_commentary,0,16,0.0
GREEK,pedagogical_explanation,4,16,25.0
GREEK,notes_annotations_observations,0,16,0.0
GREEK,contracted_or_extracted_commentary,0,16,0.0
GREEK,scholia_general,3,16,18.8
GREEK,any_commentary_split,9,16,56.2
ITALIAN,ancient_humanist_scholia,0,12,0.0
ITALIAN,clavius_jesuit_commentary,0,12,0.0
ITALIAN,pedagogical_explanation,1,12,8.3
ITALIAN,notes_annotations_observations,1,12,8.3
ITALIAN,contracted_or_extracted_commentary,0,12,0.0
ITALIAN,scholia_general,1,12,8.3
ITALIAN,any_commentary_split,3,12,25.0
LATIN,ancient_humanist_scholia,22,139,15.8
LATIN,clavius_jesuit_commentary,9,139,6.5
LATIN,pedagogical_explanation,6,139,4.3
LATIN,notes_annotations_observations,7,139,5.0
LATIN,contracted_or_extracted_commentary,5,139,3.6
LATIN,scholia_general,9,139,6.5
LATIN,any_commentary_split,39,139,28.1
SPANISH,ancient_humanist_scholia,0,6,0.0
SPANISH,clavius_jesuit_commentary,0,6,0.0
SPANISH,pedagogical_explanation,1,6,16.7
SPANISH,notes_annotations_observations,0,6,0.0
SPANISH,contracted_or_extracted_commentary,0,6,0.0
SPANISH,scholia_general,0,6,0.0
SPANISH,any_commentary_split,1,6,16.7
