group,commentary_type,count,denominator,pct
1550-1599,ancient_humanist_scholia,17,55,30.9
1550-1599,clavius_jesuit_commentary,2,55,3.6
1550-1599,pedagogical_explanation,5,55,9.1
1550-1599,notes_annotations_observations,5,55,9.1
1550-1599,contracted_or_extracted_commentary,0,55,0.0
1550-1599,scholia_general,8,55,14.5
1550-1599,any_commentary_split,27,55,49.1
1600-1649,ancient_humanist_scholia,6,75,8.0
1600-1649,clavius_jesuit_commentary,5,75,6.7
1600-1649,pedagogical_explanation,7,75,9.3
1600-1649,notes_annotations_observations,7,75,9.3
1600-1649,contracted_or_extracted_commentary,3,75,4.0
1600-1649,scholia_general,4,75,5.3
1600-1649,any_commentary_split,22,75,29.3
1650-1699,ancient_humanist_scholia,2,83,2.4
1650-1699,clavius_jesuit_commentary,3,83,3.6
1650-1699,pedagogical_explanation,14,83,16.9
1650-1699,notes_annotations_observations,1,83,1.2
1650-1699,contracted_or_extracted_commentary,2,83,2.4
1650-1699,scholia_general,2,83,2.4
1650-1699,any_commentary_split,19,83,22.9
1700+,ancient_humanist_scholia,4,40,10.0
1700+,clavius_jesuit_commentary,0,40,0.0
1700+,pedagogical_explanation,6,40,15.0
1700+,notes_annotations_observations,3,40,7.5
1700+,contracted_or_extracted_commentary,0,40,0.0
1700+,scholia_general,0,40,0.0
1700+,any_commentary_split,12,40,30.0
pre-1550,ancient_humanist_scholia,7,32,21.9
pre-1550,clavius_jesuit_commentary,0,32,0.0
pre-1550,pedagogical_explanation,4,32,12.5
pre-1550,notes_annotations_observations,0,32,0.0
pre-1550,contracted_or_extracted_commentary,0,32,0.0
pre-1550,scholia_general,0,32,0.0
pre-1550,any_commentary_split,11,32,34.4
