row_type,col_type,count,row_denominator,pct_of_row_type
ancient_humanist_scholia,ancient_humanist_scholia,36,36,100.0
ancient_humanist_scholia,clavius_jesuit_commentary,0,36,0.0
ancient_humanist_scholia,pedagogical_explanation,5,36,13.9
ancient_humanist_scholia,notes_annotations_observations,5,36,13.9
ancient_humanist_scholia,contracted_or_extracted_commentary,0,36,0.0
ancient_humanist_scholia,scholia_general,5,36,13.9
ancient_humanist_scholia,any_commentary_split,36,36,100.0
clavius_jesuit_commentary,ancient_humanist_scholia,0,10,0.0
clavius_jesuit_commentary,clavius_jesuit_commentary,10,10,100.0
clavius_jesuit_commentary,pedagogical_explanation,0,10,0.0
clavius_jesuit_commentary,notes_annotations_observations,0,10,0.0
clavius_jesuit_commentary,contracted_or_extracted_commentary,3,10,30.0
clavius_jesuit_commentary,scholia_general,6,10,60.0
clavius_jesuit_commentary,any_commentary_split,10,10,100.0
pedagogical_explanation,ancient_humanist_scholia,5,37,13.5
pedagogical_explanation,clavius_jesuit_commentary,0,37,0.0
pedagogical_explanation,pedagogical_explanation,37,37,100.0
pedagogical_explanation,notes_annotations_observations,2,37,5.4
pedagogical_explanation,contracted_or_extracted_commentary,0,37,0.0
pedagogical_explanation,scholia_general,2,37,5.4
pedagogical_explanation,any_commentary_split,37,37,100.0
notes_annotations_observations,ancient_humanist_scholia,5,16,31.2
notes_annotations_observations,clavius_jesuit_commentary,0,16,0.0
notes_annotations_observations,pedagogical_explanation,2,16,12.5
notes_annotations_observations,notes_annotations_observations,16,16,100.0
notes_annotations_observations,contracted_or_extracted_commentary,0,16,0.0
notes_annotations_observations,scholia_general,3,16,18.8
notes_annotations_observations,any_commentary_split,16,16,100.0
contracted_or_extracted_commentary,ancient_humanist_scholia,0,5,0.0
contracted_or_extracted_commentary,clavius_jesuit_commentary,3,5,60.0
contracted_or_extracted_commentary,pedagogical_explanation,0,5,0.0
contracted_or_extracted_commentary,notes_annotations_observations,0,5,0.0
contracted_or_extracted_commentary,contracted_or_extracted_commentary,5,5,100.0
contracted_or_extracted_commentary,scholia_general,1,5,20.0
contracted_or_extracted_commentary,any_commentary_split,5,5,100.0
scholia_general,ancient_humanist_scholia,5,14,35.7
scholia_general,clavius_jesuit_commentary,6,14,42.9
scholia_general,pedagogical_explanation,2,14,14.3
scholia_general,notes_annotations_observations,3,14,21.4
scholia_general,contracted_or_extracted_commentary,1,14,7.1
scholia_general,scholia_general,14,14,100.0
scholia_general,any_commentary_split,14,14,100.0
any_commentary_split,ancient_humanist_scholia,36,92,39.1
any_commentary_split,clavius_jesuit_commentary,10,92,10.9
any_commentary_split,pedagogical_explanation,37,92,40.2
any_commentary_split,notes_annotations_observations,16,92,17.4
any_commentary_split,contracted_or_extracted_commentary,5,92,5.4
any_commentary_split,scholia_general,14,92,15.2
any_commentary_split,any_commentary_split,92,92,100.0
