group,marker,count,denominator,pct
Metadata Elements,Any named deductive part,165,286,57.7
Metadata Elements,Demonstrations/proofs,60,286,21.0
Metadata Elements,Propositions,29,286,10.1
Metadata Elements,Theorems,17,286,5.9
Metadata Elements,Problems,4,286,1.4
Metadata Elements,Figures/diagrams,21,286,7.3
Metadata Elements,Scholia/commentary,39,286,13.6
Metadata Elements,Notes/observations,11,286,3.8
Metadata Elements,Corollaries,3,286,1.0
Metadata Elements,Definitions,4,286,1.4
Metadata Elements,Axioms/common notions,1,286,0.3
Metadata Elements,Enunciations,8,286,2.8
Metadata Elements,Examples,3,286,1.0
Metadata Elements,Operations/constructions,3,286,1.0
Metadata Elements,Principles,27,286,9.4
Metadata Elements,Paradoxes,0,286,0.0
Non-Elements,Any named deductive part,194,557,34.8
Non-Elements,Demonstrations/proofs,42,557,7.5
Non-Elements,Propositions,25,557,4.5
Non-Elements,Theorems,21,557,3.8
Non-Elements,Problems,21,557,3.8
Non-Elements,Figures/diagrams,43,557,7.7
Non-Elements,Scholia/commentary,36,557,6.5
Non-Elements,Notes/observations,28,557,5.0
Non-Elements,Corollaries,1,557,0.2
Non-Elements,Definitions,2,557,0.4
Non-Elements,Axioms/common notions,1,557,0.2
Non-Elements,Enunciations,0,557,0.0
Non-Elements,Examples,12,557,2.2
Non-Elements,Operations/constructions,23,557,4.1
Non-Elements,Principles,17,557,3.1
Non-Elements,Paradoxes,2,557,0.4
