group,marker,count,denominator,pct
6,Canonical/textual identity,4,5,80.0
6,Method/demonstration/order,1,5,20.0
6,Access/clarity/pedagogy,1,5,20.0
6,Utility/practice/application,0,5,0.0
6,Correction/revision,2,5,40.0
6,Augmentation/composition,0,5,0.0
6,Translation/transfer,0,5,0.0
6,Ancient authority/restoration,5,5,100.0
6,Novelty/modernity,0,5,0.0
6,Visual aids,0,5,0.0
6,Completeness/system,1,5,20.0
6,Selection/extraction,0,5,0.0
6,Students/learners,0,5,0.0
6,General readers/lovers,0,5,0.0
6,Surveyors/engineers,0,5,0.0
6,Military users,0,5,0.0
6,Universities/academies,0,5,0.0
6,Jesuit,1,5,20.0
6,Math professor/lecturer,0,5,0.0
6,Any named deductive part,1,5,20.0
6,Demonstrations/proofs,1,5,20.0
6,Propositions,0,5,0.0
6,Scholia/commentary,0,5,0.0
6,Figures/diagrams,0,5,0.0
6,Problems,0,5,0.0
6,Operations/constructions,0,5,0.0
duodecimo,Canonical/textual identity,29,30,96.7
duodecimo,Method/demonstration/order,16,30,53.3
duodecimo,Access/clarity/pedagogy,12,30,40.0
duodecimo,Utility/practice/application,4,30,13.3
duodecimo,Correction/revision,9,30,30.0
duodecimo,Augmentation/composition,14,30,46.7
duodecimo,Translation/transfer,3,30,10.0
duodecimo,Ancient authority/restoration,27,30,90.0
duodecimo,Novelty/modernity,2,30,6.7
duodecimo,Visual aids,2,30,6.7
duodecimo,Completeness/system,7,30,23.3
duodecimo,Selection/extraction,7,30,23.3
duodecimo,Students/learners,0,30,0.0
duodecimo,General readers/lovers,0,30,0.0
duodecimo,Surveyors/engineers,0,30,0.0
duodecimo,Military users,0,30,0.0
duodecimo,Universities/academies,3,30,10.0
duodecimo,Jesuit,8,30,26.7
duodecimo,Math professor/lecturer,1,30,3.3
duodecimo,Any named deductive part,21,30,70.0
duodecimo,Demonstrations/proofs,8,30,26.7
duodecimo,Propositions,10,30,33.3
duodecimo,Scholia/commentary,3,30,10.0
duodecimo,Figures/diagrams,1,30,3.3
duodecimo,Problems,0,30,0.0
duodecimo,Operations/constructions,0,30,0.0
folio,Canonical/textual identity,41,54,75.9
folio,Method/demonstration/order,16,54,29.6
folio,Access/clarity/pedagogy,3,54,5.6
folio,Utility/practice/application,5,54,9.3
folio,Correction/revision,10,54,18.5
folio,Augmentation/composition,31,54,57.4
folio,Translation/transfer,16,54,29.6
folio,Ancient authority/restoration,41,54,75.9
folio,Novelty/modernity,3,54,5.6
folio,Visual aids,15,54,27.8
folio,Completeness/system,10,54,18.5
folio,Selection/extraction,7,54,13.0
folio,Students/learners,3,54,5.6
folio,General readers/lovers,1,54,1.9
folio,Surveyors/engineers,0,54,0.0
folio,Military users,0,54,0.0
folio,Universities/academies,0,54,0.0
folio,Jesuit,4,54,7.4
folio,Math professor/lecturer,1,54,1.9
folio,Any named deductive part,28,54,51.9
folio,Demonstrations/proofs,7,54,13.0
folio,Propositions,3,54,5.6
folio,Scholia/commentary,14,54,25.9
folio,Figures/diagrams,3,54,5.6
folio,Problems,1,54,1.9
folio,Operations/constructions,0,54,0.0
missing/unknown,Canonical/textual identity,15,18,83.3
missing/unknown,Method/demonstration/order,6,18,33.3
missing/unknown,Access/clarity/pedagogy,3,18,16.7
missing/unknown,Utility/practice/application,0,18,0.0
missing/unknown,Correction/revision,3,18,16.7
missing/unknown,Augmentation/composition,4,18,22.2
missing/unknown,Translation/transfer,1,18,5.6
missing/unknown,Ancient authority/restoration,13,18,72.2
missing/unknown,Novelty/modernity,1,18,5.6
missing/unknown,Visual aids,1,18,5.6
missing/unknown,Completeness/system,3,18,16.7
missing/unknown,Selection/extraction,3,18,16.7
missing/unknown,Students/learners,0,18,0.0
missing/unknown,General readers/lovers,0,18,0.0
missing/unknown,Surveyors/engineers,0,18,0.0
missing/unknown,Military users,0,18,0.0
missing/unknown,Universities/academies,1,18,5.6
missing/unknown,Jesuit,1,18,5.6
missing/unknown,Math professor/lecturer,2,18,11.1
missing/unknown,Any named deductive part,7,18,38.9
missing/unknown,Demonstrations/proofs,5,18,27.8
missing/unknown,Propositions,0,18,0.0
missing/unknown,Scholia/commentary,0,18,0.0
missing/unknown,Figures/diagrams,0,18,0.0
missing/unknown,Problems,1,18,5.6
missing/unknown,Operations/constructions,1,18,5.6
octavo,Canonical/textual identity,101,111,91.0
octavo,Method/demonstration/order,55,111,49.5
octavo,Access/clarity/pedagogy,17,111,15.3
octavo,Utility/practice/application,7,111,6.3
octavo,Correction/revision,37,111,33.3
octavo,Augmentation/composition,46,111,41.4
octavo,Translation/transfer,34,111,30.6
octavo,Ancient authority/restoration,100,111,90.1
octavo,Novelty/modernity,14,111,12.6
octavo,Visual aids,21,111,18.9
octavo,Completeness/system,21,111,18.9
octavo,Selection/extraction,24,111,21.6
octavo,Students/learners,6,111,5.4
octavo,General readers/lovers,6,111,5.4
octavo,Surveyors/engineers,0,111,0.0
octavo,Military users,3,111,2.7
octavo,Universities/academies,0,111,0.0
octavo,Jesuit,8,111,7.2
octavo,Math professor/lecturer,16,111,14.4
octavo,Any named deductive part,67,111,60.4
octavo,Demonstrations/proofs,24,111,21.6
octavo,Propositions,12,111,10.8
octavo,Scholia/commentary,13,111,11.7
octavo,Figures/diagrams,15,111,13.5
octavo,Problems,1,111,0.9
octavo,Operations/constructions,1,111,0.9
quarto,Canonical/textual identity,57,67,85.1
quarto,Method/demonstration/order,26,67,38.8
quarto,Access/clarity/pedagogy,9,67,13.4
quarto,Utility/practice/application,6,67,9.0
quarto,Correction/revision,5,67,7.5
quarto,Augmentation/composition,22,67,32.8
quarto,Translation/transfer,21,67,31.3
quarto,Ancient authority/restoration,51,67,76.1
quarto,Novelty/modernity,7,67,10.4
quarto,Visual aids,6,67,9.0
quarto,Completeness/system,6,67,9.0
quarto,Selection/extraction,10,67,14.9
quarto,Students/learners,1,67,1.5
quarto,General readers/lovers,4,67,6.0
quarto,Surveyors/engineers,0,67,0.0
quarto,Military users,0,67,0.0
quarto,Universities/academies,1,67,1.5
quarto,Jesuit,2,67,3.0
quarto,Math professor/lecturer,6,67,9.0
quarto,Any named deductive part,41,67,61.2
