group,marker,count,denominator,pct
DUTCH,Canonical/textual identity,18,21,85.7
DUTCH,Method/demonstration/order,15,21,71.4
DUTCH,Access/clarity/pedagogy,6,21,28.6
DUTCH,Utility/practice/application,4,21,19.0
DUTCH,Correction/revision,10,21,47.6
DUTCH,Augmentation/composition,10,21,47.6
DUTCH,Translation/transfer,7,21,33.3
DUTCH,Ancient authority/restoration,18,21,85.7
DUTCH,Novelty/modernity,8,21,38.1
DUTCH,Visual aids,8,21,38.1
DUTCH,Completeness/system,1,21,4.8
DUTCH,Selection/extraction,10,21,47.6
DUTCH,Students/learners,4,21,19.0
DUTCH,General readers/lovers,0,21,0.0
DUTCH,Surveyors/engineers,0,21,0.0
DUTCH,Military users,0,21,0.0
DUTCH,Universities/academies,1,21,4.8
DUTCH,Jesuit,0,21,0.0
DUTCH,Math professor/lecturer,1,21,4.8
DUTCH,Any named deductive part,17,21,81.0
DUTCH,Demonstrations/proofs,1,21,4.8
DUTCH,Propositions,2,21,9.5
DUTCH,Scholia/commentary,1,21,4.8
DUTCH,Figures/diagrams,6,21,28.6
DUTCH,Problems,0,21,0.0
DUTCH,Operations/constructions,0,21,0.0
ENGLISH,Canonical/textual identity,20,20,100.0
ENGLISH,Method/demonstration/order,13,20,65.0
ENGLISH,Access/clarity/pedagogy,9,20,45.0
ENGLISH,Utility/practice/application,6,20,30.0
ENGLISH,Correction/revision,5,20,25.0
ENGLISH,Augmentation/composition,9,20,45.0
ENGLISH,Translation/transfer,4,20,20.0
ENGLISH,Ancient authority/restoration,17,20,85.0
ENGLISH,Novelty/modernity,6,20,30.0
ENGLISH,Visual aids,2,20,10.0
ENGLISH,Completeness/system,4,20,20.0
ENGLISH,Selection/extraction,9,20,45.0
ENGLISH,Students/learners,0,20,0.0
ENGLISH,General readers/lovers,0,20,0.0
ENGLISH,Surveyors/engineers,0,20,0.0
ENGLISH,Military users,0,20,0.0
ENGLISH,Universities/academies,2,20,10.0
ENGLISH,Jesuit,3,20,15.0
ENGLISH,Math professor/lecturer,4,20,20.0
ENGLISH,Any named deductive part,19,20,95.0
ENGLISH,Demonstrations/proofs,9,20,45.0
ENGLISH,Propositions,7,20,35.0
ENGLISH,Scholia/commentary,2,20,10.0
ENGLISH,Figures/diagrams,0,20,0.0
ENGLISH,Problems,2,20,10.0
ENGLISH,Operations/constructions,2,20,10.0
FRENCH,Canonical/textual identity,44,53,83.0
FRENCH,Method/demonstration/order,24,53,45.3
FRENCH,Access/clarity/pedagogy,12,53,22.6
FRENCH,Utility/practice/application,5,53,9.4
FRENCH,Correction/revision,19,53,35.8
FRENCH,Augmentation/composition,31,53,58.5
FRENCH,Translation/transfer,20,53,37.7
FRENCH,Ancient authority/restoration,42,53,79.2
FRENCH,Novelty/modernity,3,53,5.7
FRENCH,Visual aids,8,53,15.1
FRENCH,Completeness/system,9,53,17.0
FRENCH,Selection/extraction,13,53,24.5
FRENCH,Students/learners,1,53,1.9
FRENCH,General readers/lovers,3,53,5.7
FRENCH,Surveyors/engineers,0,53,0.0
FRENCH,Military users,3,53,5.7
FRENCH,Universities/academies,0,53,0.0
FRENCH,Jesuit,5,53,9.4
FRENCH,Math professor/lecturer,18,53,34.0
FRENCH,Any named deductive part,33,53,62.3
FRENCH,Demonstrations/proofs,9,53,17.0
FRENCH,Propositions,9,53,17.0
FRENCH,Scholia/commentary,10,53,18.9
FRENCH,Figures/diagrams,9,53,17.0
FRENCH,Problems,0,53,0.0
FRENCH,Operations/constructions,0,53,0.0
GERMAN,Canonical/textual identity,12,13,92.3
GERMAN,Method/demonstration/order,3,13,23.1
GERMAN,Access/clarity/pedagogy,0,13,0.0
GERMAN,Utility/practice/application,2,13,15.4
GERMAN,Correction/revision,0,13,0.0
GERMAN,Augmentation/composition,2,13,15.4
GERMAN,Translation/transfer,0,13,0.0
GERMAN,Ancient authority/restoration,11,13,84.6
GERMAN,Novelty/modernity,1,13,7.7
GERMAN,Visual aids,5,13,38.5
GERMAN,Completeness/system,2,13,15.4
GERMAN,Selection/extraction,0,13,0.0
GERMAN,Students/learners,0,13,0.0
GERMAN,General readers/lovers,4,13,30.8
GERMAN,Surveyors/engineers,0,13,0.0
GERMAN,Military users,0,13,0.0
GERMAN,Universities/academies,0,13,0.0
GERMAN,Jesuit,0,13,0.0
GERMAN,Math professor/lecturer,1,13,7.7
GERMAN,Any named deductive part,7,13,53.8
GERMAN,Demonstrations/proofs,2,13,15.4
GERMAN,Propositions,0,13,0.0
GERMAN,Scholia/commentary,0,13,0.0
GERMAN,Figures/diagrams,2,13,15.4
GERMAN,Problems,1,13,7.7
GERMAN,Operations/constructions,1,13,7.7
GREEK,Canonical/textual identity,13,16,81.2
GREEK,Method/demonstration/order,3,16,18.8
GREEK,Access/clarity/pedagogy,0,16,0.0
