group,marker,count,denominator,pct
composite/apparatus,Canonical/textual identity,1,6,16.7
composite/apparatus,Method/demonstration/order,0,6,0.0
composite/apparatus,Access/clarity/pedagogy,0,6,0.0
composite/apparatus,Utility/practice/application,0,6,0.0
composite/apparatus,Correction/revision,0,6,0.0
composite/apparatus,Augmentation/composition,2,6,33.3
composite/apparatus,Translation/transfer,1,6,16.7
composite/apparatus,Ancient authority/restoration,1,6,16.7
composite/apparatus,Novelty/modernity,0,6,0.0
composite/apparatus,Visual aids,0,6,0.0
composite/apparatus,Completeness/system,0,6,0.0
composite/apparatus,Selection/extraction,0,6,0.0
composite/apparatus,Students/learners,0,6,0.0
composite/apparatus,General readers/lovers,0,6,0.0
composite/apparatus,Surveyors/engineers,0,6,0.0
composite/apparatus,Military users,0,6,0.0
composite/apparatus,Universities/academies,0,6,0.0
composite/apparatus,Jesuit,0,6,0.0
composite/apparatus,Math professor/lecturer,0,6,0.0
composite/apparatus,Any named deductive part,2,6,33.3
composite/apparatus,Demonstrations/proofs,0,6,0.0
composite/apparatus,Propositions,0,6,0.0
composite/apparatus,Scholia/commentary,0,6,0.0
composite/apparatus,Figures/diagrams,0,6,0.0
composite/apparatus,Problems,0,6,0.0
composite/apparatus,Operations/constructions,0,6,0.0
humanist/vernacular transfer,Canonical/textual identity,23,23,100.0
humanist/vernacular transfer,Method/demonstration/order,5,23,21.7
humanist/vernacular transfer,Access/clarity/pedagogy,0,23,0.0
humanist/vernacular transfer,Utility/practice/application,0,23,0.0
humanist/vernacular transfer,Correction/revision,1,23,4.3
humanist/vernacular transfer,Augmentation/composition,2,23,8.7
humanist/vernacular transfer,Translation/transfer,18,23,78.3
humanist/vernacular transfer,Ancient authority/restoration,23,23,100.0
humanist/vernacular transfer,Novelty/modernity,0,23,0.0
humanist/vernacular transfer,Visual aids,0,23,0.0
humanist/vernacular transfer,Completeness/system,5,23,21.7
humanist/vernacular transfer,Selection/extraction,1,23,4.3
humanist/vernacular transfer,Students/learners,0,23,0.0
humanist/vernacular transfer,General readers/lovers,2,23,8.7
humanist/vernacular transfer,Surveyors/engineers,0,23,0.0
humanist/vernacular transfer,Military users,0,23,0.0
humanist/vernacular transfer,Universities/academies,0,23,0.0
humanist/vernacular transfer,Jesuit,0,23,0.0
humanist/vernacular transfer,Math professor/lecturer,0,23,0.0
humanist/vernacular transfer,Any named deductive part,5,23,21.7
humanist/vernacular transfer,Demonstrations/proofs,2,23,8.7
humanist/vernacular transfer,Propositions,2,23,8.7
