group,marker,count,denominator,pct
1550-1599,Canonical/textual identity,48,55,87.3
1550-1599,Method/demonstration/order,17,55,30.9
1550-1599,Access/clarity/pedagogy,5,55,9.1
1550-1599,Utility/practice/application,1,55,1.8
1550-1599,Correction/revision,5,55,9.1
1550-1599,Augmentation/composition,22,55,40.0
1550-1599,Translation/transfer,28,55,50.9
1550-1599,Ancient authority/restoration,47,55,85.5
1550-1599,Novelty/modernity,2,55,3.6
1550-1599,Visual aids,8,55,14.5
1550-1599,Completeness/system,9,55,16.4
1550-1599,Selection/extraction,8,55,14.5
1550-1599,Students/learners,0,55,0.0
1550-1599,General readers/lovers,1,55,1.8
1550-1599,Surveyors/engineers,0,55,0.0
1550-1599,Military users,0,55,0.0
1550-1599,Universities/academies,0,55,0.0
1550-1599,Jesuit,0,55,0.0
1550-1599,Math professor/lecturer,4,55,7.3
1550-1599,Any named deductive part,28,55,50.9
1550-1599,Demonstrations/proofs,8,55,14.5
1550-1599,Propositions,7,55,12.7
1550-1599,Scholia/commentary,13,55,23.6
1550-1599,Figures/diagrams,0,55,0.0
1550-1599,Problems,0,55,0.0
1550-1599,Operations/constructions,1,55,1.8
1600-1649,Canonical/textual identity,64,75,85.3
1600-1649,Method/demonstration/order,35,75,46.7
1600-1649,Access/clarity/pedagogy,15,75,20.0
1600-1649,Utility/practice/application,5,75,6.7
1600-1649,Correction/revision,26,75,34.7
1600-1649,Augmentation/composition,39,75,52.0
1600-1649,Translation/transfer,22,75,29.3
1600-1649,Ancient authority/restoration,64,75,85.3
1600-1649,Novelty/modernity,7,75,9.3
1600-1649,Visual aids,14,75,18.7
1600-1649,Completeness/system,10,75,13.3
1600-1649,Selection/extraction,21,75,28.0
1600-1649,Students/learners,1,75,1.3
1600-1649,General readers/lovers,1,75,1.3
1600-1649,Surveyors/engineers,0,75,0.0
1600-1649,Military users,0,75,0.0
1600-1649,Universities/academies,0,75,0.0
1600-1649,Jesuit,4,75,5.3
1600-1649,Math professor/lecturer,12,75,16.0
1600-1649,Any named deductive part,44,75,58.7
1600-1649,Demonstrations/proofs,19,75,25.3
1600-1649,Propositions,3,75,4.0
1600-1649,Scholia/commentary,10,75,13.3
1600-1649,Figures/diagrams,10,75,13.3
1600-1649,Problems,1,75,1.3
1600-1649,Operations/constructions,0,75,0.0
1650-1699,Canonical/textual identity,73,83,88.0
1650-1699,Method/demonstration/order,46,83,55.4
1650-1699,Access/clarity/pedagogy,15,83,18.1
1650-1699,Utility/practice/application,8,83,9.6
1650-1699,Correction/revision,21,83,25.3
1650-1699,Augmentation/composition,25,83,30.1
1650-1699,Translation/transfer,12,83,14.5
1650-1699,Ancient authority/restoration,69,83,83.1
1650-1699,Novelty/modernity,11,83,13.3
1650-1699,Visual aids,7,83,8.4
1650-1699,Completeness/system,18,83,21.7
1650-1699,Selection/extraction,10,83,12.0
1650-1699,Students/learners,6,83,7.2
1650-1699,General readers/lovers,8,83,9.6
1650-1699,Surveyors/engineers,0,83,0.0
1650-1699,Military users,3,83,3.6
1650-1699,Universities/academies,3,83,3.6
1650-1699,Jesuit,16,83,19.3
1650-1699,Math professor/lecturer,5,83,6.0
1650-1699,Any named deductive part,58,83,69.9
1650-1699,Demonstrations/proofs,24,83,28.9
1650-1699,Propositions,13,83,15.7
1650-1699,Scholia/commentary,6,83,7.2
1650-1699,Figures/diagrams,5,83,6.0
1650-1699,Problems,0,83,0.0
1650-1699,Operations/constructions,0,83,0.0
1700+,Canonical/textual identity,38,40,95.0
1700+,Method/demonstration/order,18,40,45.0
1700+,Access/clarity/pedagogy,10,40,25.0
1700+,Utility/practice/application,6,40,15.0
1700+,Correction/revision,10,40,25.0
1700+,Augmentation/composition,15,40,37.5
1700+,Translation/transfer,5,40,12.5
1700+,Ancient authority/restoration,35,40,87.5
1700+,Novelty/modernity,7,40,17.5
1700+,Visual aids,7,40,17.5
1700+,Completeness/system,7,40,17.5
1700+,Selection/extraction,11,40,27.5
1700+,Students/learners,3,40,7.5
1700+,General readers/lovers,0,40,0.0
1700+,Surveyors/engineers,0,40,0.0
1700+,Military users,0,40,0.0
1700+,Universities/academies,2,40,5.0
1700+,Jesuit,5,40,12.5
1700+,Math professor/lecturer,5,40,12.5
1700+,Any named deductive part,23,40,57.5
1700+,Demonstrations/proofs,7,40,17.5
1700+,Propositions,5,40,12.5
1700+,Scholia/commentary,2,40,5.0
1700+,Figures/diagrams,5,40,12.5
1700+,Problems,2,40,5.0
1700+,Operations/constructions,2,40,5.0
pre-1550,Canonical/textual identity,24,32,75.0
pre-1550,Method/demonstration/order,4,32,12.5
pre-1550,Access/clarity/pedagogy,0,32,0.0
pre-1550,Utility/practice/application,2,32,6.2
pre-1550,Correction/revision,4,32,12.5
pre-1550,Augmentation/composition,16,32,50.0
pre-1550,Translation/transfer,8,32,25.0
pre-1550,Ancient authority/restoration,22,32,68.8
pre-1550,Novelty/modernity,0,32,0.0
pre-1550,Visual aids,9,32,28.1
pre-1550,Completeness/system,4,32,12.5
pre-1550,Selection/extraction,1,32,3.1
pre-1550,Students/learners,0,32,0.0
pre-1550,General readers/lovers,1,32,3.1
pre-1550,Surveyors/engineers,0,32,0.0
pre-1550,Military users,0,32,0.0
pre-1550,Universities/academies,0,32,0.0
pre-1550,Jesuit,0,32,0.0
pre-1550,Math professor/lecturer,0,32,0.0
pre-1550,Any named deductive part,12,32,37.5
pre-1550,Demonstrations/proofs,2,32,6.2
pre-1550,Propositions,1,32,3.1
pre-1550,Scholia/commentary,8,32,25.0
pre-1550,Figures/diagrams,1,32,3.1
pre-1550,Problems,1,32,3.1
pre-1550,Operations/constructions,0,32,0.0
