group,marker,count,denominator,pct
books_1_13,visual title claim,0,5,0.0
books_1_13,metadata diagrams,0,5,0.0
books_1_13,figures as proof apparatus,0,5,0.0
books_1_13,figures as practical operation,0,5,0.0
books_1_13,figures as visual pedagogy,0,5,0.0
books_1_13,figures as edition furnishing,0,5,0.0
books_1_13,figures as ancient/learned apparatus,0,5,0.0
books_1_13,visual claim but no metadata diagrams,0,5,0.0
books_1_13,metadata diagrams but no visual claim,0,5,0.0
books_1_6,visual title claim,16,81,19.8
books_1_6,metadata diagrams,1,81,1.2
books_1_6,figures as proof apparatus,12,81,14.8
books_1_6,figures as practical operation,7,81,8.6
books_1_6,figures as visual pedagogy,9,81,11.1
books_1_6,figures as edition furnishing,12,81,14.8
books_1_6,figures as ancient/learned apparatus,16,81,19.8
books_1_6,visual claim but no metadata diagrams,16,81,19.8
books_1_6,metadata diagrams but no visual claim,1,81,1.2
books_1_6_plus_solids,visual title claim,4,39,10.3
books_1_6_plus_solids,metadata diagrams,0,39,0.0
books_1_6_plus_solids,figures as proof apparatus,3,39,7.7
books_1_6_plus_solids,figures as practical operation,0,39,0.0
books_1_6_plus_solids,figures as visual pedagogy,3,39,7.7
books_1_6_plus_solids,figures as edition furnishing,2,39,5.1
books_1_6_plus_solids,figures as ancient/learned apparatus,4,39,10.3
books_1_6_plus_solids,visual claim but no metadata diagrams,4,39,10.3
books_1_6_plus_solids,metadata diagrams but no visual claim,0,39,0.0
mixed_or_other_books,visual title claim,0,1,0.0
mixed_or_other_books,metadata diagrams,0,1,0.0
mixed_or_other_books,figures as proof apparatus,0,1,0.0
mixed_or_other_books,figures as practical operation,0,1,0.0
mixed_or_other_books,figures as visual pedagogy,0,1,0.0
mixed_or_other_books,figures as edition furnishing,0,1,0.0
mixed_or_other_books,figures as ancient/learned apparatus,0,1,0.0
mixed_or_other_books,visual claim but no metadata diagrams,0,1,0.0
mixed_or_other_books,metadata diagrams but no visual claim,0,1,0.0
near_complete_or_expanded,visual title claim,17,67,25.4
near_complete_or_expanded,metadata diagrams,3,67,4.5
near_complete_or_expanded,figures as proof apparatus,11,67,16.4
near_complete_or_expanded,figures as practical operation,0,67,0.0
near_complete_or_expanded,figures as visual pedagogy,2,67,3.0
near_complete_or_expanded,figures as edition furnishing,15,67,22.4
near_complete_or_expanded,figures as ancient/learned apparatus,17,67,25.4
near_complete_or_expanded,visual claim but no metadata diagrams,17,67,25.4
near_complete_or_expanded,metadata diagrams but no visual claim,3,67,4.5
near_complete_or_expanded_enunciations,visual title claim,0,7,0.0
near_complete_or_expanded_enunciations,metadata diagrams,0,7,0.0
near_complete_or_expanded_enunciations,figures as proof apparatus,0,7,0.0
near_complete_or_expanded_enunciations,figures as practical operation,0,7,0.0
near_complete_or_expanded_enunciations,figures as visual pedagogy,0,7,0.0
near_complete_or_expanded_enunciations,figures as edition furnishing,0,7,0.0
near_complete_or_expanded_enunciations,figures as ancient/learned apparatus,0,7,0.0
near_complete_or_expanded_enunciations,visual claim but no metadata diagrams,0,7,0.0
near_complete_or_expanded_enunciations,metadata diagrams but no visual claim,0,7,0.0
partial_from_book_1,visual title claim,0,8,0.0
partial_from_book_1,metadata diagrams,0,8,0.0
partial_from_book_1,figures as proof apparatus,0,8,0.0
partial_from_book_1,figures as practical operation,0,8,0.0
partial_from_book_1,figures as visual pedagogy,0,8,0.0
partial_from_book_1,figures as edition furnishing,0,8,0.0
partial_from_book_1,figures as ancient/learned apparatus,0,8,0.0
partial_from_book_1,visual claim but no metadata diagrams,0,8,0.0
partial_from_book_1,metadata diagrams but no visual claim,0,8,0.0
selected_later_books,visual title claim,2,21,9.5
selected_later_books,metadata diagrams,1,21,4.8
selected_later_books,figures as proof apparatus,1,21,4.8
selected_later_books,figures as practical operation,0,21,0.0
selected_later_books,figures as visual pedagogy,0,21,0.0
selected_later_books,figures as edition furnishing,1,21,4.8
selected_later_books,figures as ancient/learned apparatus,2,21,9.5
selected_later_books,visual claim but no metadata diagrams,2,21,9.5
selected_later_books,metadata diagrams but no visual claim,1,21,4.8
selected_later_books_enunciations,visual title claim,0,1,0.0
selected_later_books_enunciations,metadata diagrams,0,1,0.0
selected_later_books_enunciations,figures as proof apparatus,0,1,0.0
selected_later_books_enunciations,figures as practical operation,0,1,0.0
selected_later_books_enunciations,figures as visual pedagogy,0,1,0.0
selected_later_books_enunciations,figures as edition furnishing,0,1,0.0
selected_later_books_enunciations,figures as ancient/learned apparatus,0,1,0.0
selected_later_books_enunciations,visual claim but no metadata diagrams,0,1,0.0
selected_later_books_enunciations,metadata diagrams but no visual claim,0,1,0.0
unknown_books,visual title claim,105,613,17.1
unknown_books,metadata diagrams,142,613,23.2
unknown_books,figures as proof apparatus,30,613,4.9
unknown_books,figures as practical operation,41,613,6.7
unknown_books,figures as visual pedagogy,30,613,4.9
unknown_books,figures as edition furnishing,77,613,12.6
unknown_books,figures as ancient/learned apparatus,32,613,5.2
unknown_books,visual claim but no metadata diagrams,78,613,12.7
unknown_books,metadata diagrams but no visual claim,115,613,18.8
