group,figures as ancient/learned apparatus,figures as edition furnishing,figures as practical operation,figures as proof apparatus,figures as visual pedagogy,metadata diagrams,metadata diagrams but no visual claim,visual claim but no metadata diagrams,visual title claim
books_1_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
books_1_6,19.8,14.8,8.6,14.8,11.1,1.2,1.2,19.8,19.8
books_1_6_plus_solids,10.3,5.1,0.0,7.7,7.7,0.0,0.0,10.3,10.3
mixed_or_other_books,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
near_complete_or_expanded,25.4,22.4,0.0,16.4,3.0,4.5,4.5,25.4,25.4
near_complete_or_expanded_enunciations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partial_from_book_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selected_later_books,9.5,4.8,0.0,4.8,0.0,4.8,4.8,9.5,9.5
selected_later_books_enunciations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown_books,5.2,12.6,6.7,4.9,4.9,23.2,18.8,12.7,17.1
