group,marker,count,denominator,pct
elements_language_no_euclid,visual title claim,9,31,29.0
elements_language_no_euclid,metadata diagrams,6,31,19.4
elements_language_no_euclid,figures as proof apparatus,4,31,12.9
elements_language_no_euclid,figures as practical operation,4,31,12.9
elements_language_no_euclid,figures as visual pedagogy,5,31,16.1
elements_language_no_euclid,figures as edition furnishing,8,31,25.8
elements_language_no_euclid,figures as ancient/learned apparatus,2,31,6.5
elements_language_no_euclid,visual claim but no metadata diagrams,7,31,22.6
elements_language_no_euclid,metadata diagrams but no visual claim,4,31,12.9
euclid_composite_workshop,visual title claim,43,94,45.7
euclid_composite_workshop,metadata diagrams,6,94,6.4
euclid_composite_workshop,figures as proof apparatus,22,94,23.4
euclid_composite_workshop,figures as practical operation,8,94,8.5
euclid_composite_workshop,figures as visual pedagogy,13,94,13.8
euclid_composite_workshop,figures as edition furnishing,43,94,45.7
euclid_composite_workshop,figures as ancient/learned apparatus,43,94,45.7
euclid_composite_workshop,visual claim but no metadata diagrams,40,94,42.6
euclid_composite_workshop,metadata diagrams but no visual claim,3,94,3.2
euclid_elements_other,visual title claim,0,5,0.0
euclid_elements_other,metadata diagrams,0,5,0.0
euclid_elements_other,figures as proof apparatus,0,5,0.0
euclid_elements_other,figures as practical operation,0,5,0.0
euclid_elements_other,figures as visual pedagogy,0,5,0.0
euclid_elements_other,figures as edition furnishing,0,5,0.0
euclid_elements_other,figures as ancient/learned apparatus,0,5,0.0
euclid_elements_other,visual claim but no metadata diagrams,0,5,0.0
euclid_elements_other,metadata diagrams but no visual claim,0,5,0.0
euclid_geometry_theory_primary,visual title claim,4,40,10.0
euclid_geometry_theory_primary,metadata diagrams,4,40,10.0
euclid_geometry_theory_primary,figures as proof apparatus,0,40,0.0
euclid_geometry_theory_primary,figures as practical operation,0,40,0.0
euclid_geometry_theory_primary,figures as visual pedagogy,0,40,0.0
euclid_geometry_theory_primary,figures as edition furnishing,0,40,0.0
euclid_geometry_theory_primary,figures as ancient/learned apparatus,4,40,10.0
euclid_geometry_theory_primary,visual claim but no metadata diagrams,3,40,7.5
euclid_geometry_theory_primary,metadata diagrams but no visual claim,3,40,7.5
euclid_humanist_transfer,visual title claim,1,40,2.5
euclid_humanist_transfer,metadata diagrams,4,40,10.0
euclid_humanist_transfer,figures as proof apparatus,0,40,0.0
