group,figures as ancient/learned apparatus,figures as edition furnishing,figures as practical operation,figures as proof apparatus,figures as visual pedagogy,metadata diagrams,metadata diagrams but no visual claim,visual claim but no metadata diagrams,visual title claim
elements_language_no_euclid,6.5,25.8,12.9,12.9,16.1,19.4,12.9,22.6,29.0
euclid_composite_workshop,45.7,45.7,8.5,23.4,13.8,6.4,3.2,42.6,45.7
euclid_elements_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euclid_geometry_theory_primary,10.0,0.0,0.0,0.0,0.0,10.0,7.5,7.5,10.0
euclid_humanist_transfer,2.5,2.5,0.0,0.0,2.5,10.0,10.0,2.5,2.5
euclid_method_access,7.1,7.1,7.1,7.1,7.1,14.3,14.3,7.1,7.1
euclid_no_primary_subject,6.2,0.0,0.0,0.0,0.0,6.2,6.2,6.2,6.2
euclid_procedural_pedagogical,20.5,2.3,0.0,13.6,4.5,9.1,6.8,18.2,20.5
euclid_sparse_canonical,0.0,0.0,0.0,0.0,0.0,13.8,13.8,0.0,0.0
euclid_utility_public,10.5,5.3,10.5,5.3,5.3,5.3,0.0,5.3,10.5
not_euclid_elements,1.6,10.2,6.5,4.5,4.1,22.5,18.8,10.8,14.5
