group,marker,count,denominator,pct
18,visual title claim,0,1,0.0
18,metadata diagrams,0,1,0.0
18,figures as proof apparatus,0,1,0.0
18,figures as practical operation,0,1,0.0
18,figures as visual pedagogy,0,1,0.0
18,figures as edition furnishing,0,1,0.0
18,figures as ancient/learned apparatus,0,1,0.0
18,visual claim but no metadata diagrams,0,1,0.0
18,metadata diagrams but no visual claim,0,1,0.0
6,visual title claim,0,5,0.0
6,metadata diagrams,0,5,0.0
6,figures as proof apparatus,0,5,0.0
6,figures as practical operation,0,5,0.0
6,figures as visual pedagogy,0,5,0.0
6,figures as edition furnishing,0,5,0.0
6,figures as ancient/learned apparatus,0,5,0.0
6,visual claim but no metadata diagrams,0,5,0.0
6,metadata diagrams but no visual claim,0,5,0.0
duodecimo,visual title claim,3,38,7.9
duodecimo,metadata diagrams,1,38,2.6
duodecimo,figures as proof apparatus,2,38,5.3
duodecimo,figures as practical operation,0,38,0.0
duodecimo,figures as visual pedagogy,2,38,5.3
duodecimo,figures as edition furnishing,3,38,7.9
duodecimo,figures as ancient/learned apparatus,3,38,7.9
duodecimo,visual claim but no metadata diagrams,3,38,7.9
duodecimo,metadata diagrams but no visual claim,1,38,2.6
folio,visual title claim,22,94,23.4
folio,metadata diagrams,22,94,23.4
folio,figures as proof apparatus,3,94,3.2
folio,figures as practical operation,3,94,3.2
folio,figures as visual pedagogy,3,94,3.2
folio,figures as edition furnishing,16,94,17.0
folio,figures as ancient/learned apparatus,17,94,18.1
folio,visual claim but no metadata diagrams,17,94,18.1
folio,metadata diagrams but no visual claim,17,94,18.1
missing/unknown,visual title claim,80,475,16.8
missing/unknown,metadata diagrams,101,475,21.3
missing/unknown,figures as proof apparatus,25,475,5.3
missing/unknown,figures as practical operation,37,475,7.8
missing/unknown,figures as visual pedagogy,25,475,5.3
missing/unknown,figures as edition furnishing,58,475,12.2
missing/unknown,figures as ancient/learned apparatus,18,475,3.8
missing/unknown,visual claim but no metadata diagrams,62,475,13.1
missing/unknown,metadata diagrams but no visual claim,83,475,17.5
octavo,visual title claim,26,124,21.0
octavo,metadata diagrams,2,124,1.6
octavo,figures as proof apparatus,20,124,16.1
octavo,figures as practical operation,7,124,5.6
octavo,figures as visual pedagogy,9,124,7.3
octavo,figures as edition furnishing,22,124,17.7
octavo,figures as ancient/learned apparatus,25,124,20.2
octavo,visual claim but no metadata diagrams,26,124,21.0
octavo,metadata diagrams but no visual claim,2,124,1.6
quarto,visual title claim,13,106,12.3
quarto,metadata diagrams,21,106,19.8
quarto,figures as proof apparatus,7,106,6.6
quarto,figures as practical operation,1,106,0.9
quarto,figures as visual pedagogy,5,106,4.7
quarto,figures as edition furnishing,8,106,7.5
quarto,figures as ancient/learned apparatus,8,106,7.5
quarto,visual claim but no metadata diagrams,9,106,8.5
quarto,metadata diagrams but no visual claim,17,106,16.0
