group,figures as ancient/learned apparatus,figures as edition furnishing,figures as practical operation,figures as proof apparatus,figures as visual pedagogy,metadata diagrams,metadata diagrams but no visual claim,visual claim but no metadata diagrams,visual title claim
ARABIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUTCH,21.6,23.5,15.7,21.6,17.6,11.8,11.8,25.5,25.5
Dutch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGLISH,4.5,29.9,19.4,9.0,17.9,9.0,7.5,28.4,29.9
FRENCH,5.0,11.8,6.9,6.1,3.4,15.3,13.4,13.4,15.3
GERMAN,8.6,5.2,3.4,6.9,6.9,25.9,19.0,13.8,20.7
GREEK,12.5,12.5,0.0,6.2,0.0,0.0,0.0,12.5,12.5
ITALIAN,10.9,1.6,3.1,1.6,6.2,42.2,32.8,10.9,20.3
LATIN,9.8,12.4,1.6,5.9,2.0,16.7,13.1,10.8,14.4
PORTUGUESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPANISH,0.0,0.0,0.0,0.0,0.0,16.7,16.7,0.0,0.0
SWEDISH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
