group,marker,count,denominator,pct
Applied Mechanics/Military,visual title claim,3,21,14.3
Applied Mechanics/Military,metadata diagrams,6,21,28.6
Applied Mechanics/Military,figures as proof apparatus,2,21,9.5
Applied Mechanics/Military,figures as practical operation,1,21,4.8
Applied Mechanics/Military,figures as visual pedagogy,2,21,9.5
Applied Mechanics/Military,figures as edition furnishing,3,21,14.3
Applied Mechanics/Military,figures as ancient/learned apparatus,1,21,4.8
Applied Mechanics/Military,visual claim but no metadata diagrams,2,21,9.5
Applied Mechanics/Military,metadata diagrams but no visual claim,5,21,23.8
Arithmetic/Commerce,visual title claim,12,74,16.2
Arithmetic/Commerce,metadata diagrams,23,74,31.1
Arithmetic/Commerce,figures as proof apparatus,1,74,1.4
Arithmetic/Commerce,figures as practical operation,6,74,8.1
Arithmetic/Commerce,figures as visual pedagogy,5,74,6.8
Arithmetic/Commerce,figures as edition furnishing,9,74,12.2
Arithmetic/Commerce,figures as ancient/learned apparatus,2,74,2.7
Arithmetic/Commerce,visual claim but no metadata diagrams,10,74,13.5
Arithmetic/Commerce,metadata diagrams but no visual claim,21,74,28.4
Arithmetic/Commerce | Applied Mechanics/Military,visual title claim,1,3,33.3
Arithmetic/Commerce | Applied Mechanics/Military,metadata diagrams,2,3,66.7
Arithmetic/Commerce | Applied Mechanics/Military,figures as proof apparatus,0,3,0.0
Arithmetic/Commerce | Applied Mechanics/Military,figures as practical operation,0,3,0.0
Arithmetic/Commerce | Applied Mechanics/Military,figures as visual pedagogy,0,3,0.0
Arithmetic/Commerce | Applied Mechanics/Military,figures as edition furnishing,0,3,0.0
Arithmetic/Commerce | Applied Mechanics/Military,figures as ancient/learned apparatus,0,3,0.0
Arithmetic/Commerce | Applied Mechanics/Military,visual claim but no metadata diagrams,0,3,0.0
Arithmetic/Commerce | Applied Mechanics/Military,metadata diagrams but no visual claim,1,3,33.3
Arithmetic/Commerce | Cosmos/Earth,visual title claim,2,3,66.7
Arithmetic/Commerce | Cosmos/Earth,metadata diagrams,1,3,33.3
Arithmetic/Commerce | Cosmos/Earth,figures as proof apparatus,1,3,33.3
Arithmetic/Commerce | Cosmos/Earth,figures as practical operation,0,3,0.0
Arithmetic/Commerce | Cosmos/Earth,figures as visual pedagogy,0,3,0.0
Arithmetic/Commerce | Cosmos/Earth,figures as edition furnishing,2,3,66.7
Arithmetic/Commerce | Cosmos/Earth,figures as ancient/learned apparatus,0,3,0.0
Arithmetic/Commerce | Cosmos/Earth,visual claim but no metadata diagrams,1,3,33.3
Arithmetic/Commerce | Cosmos/Earth,metadata diagrams but no visual claim,0,3,0.0
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,visual title claim,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,metadata diagrams,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,figures as proof apparatus,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,figures as practical operation,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,figures as visual pedagogy,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,figures as edition furnishing,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,figures as ancient/learned apparatus,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,visual claim but no metadata diagrams,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,metadata diagrams but no visual claim,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Music,visual title claim,0,1,0.0
Arithmetic/Commerce | Cosmos/Earth | Music,metadata diagrams,1,1,100.0
