group,figures as ancient/learned apparatus,figures as edition furnishing,figures as practical operation,figures as proof apparatus,figures as visual pedagogy,metadata diagrams,metadata diagrams but no visual claim,visual claim but no metadata diagrams,visual title claim
Applied Mechanics/Military,4.8,14.3,4.8,9.5,9.5,28.6,23.8,9.5,14.3
Arithmetic/Commerce,2.7,12.2,8.1,1.4,6.8,31.1,28.4,13.5,16.2
Arithmetic/Commerce | Applied Mechanics/Military,0.0,0.0,0.0,0.0,0.0,66.7,33.3,0.0,33.3
Arithmetic/Commerce | Cosmos/Earth,0.0,66.7,0.0,33.3,0.0,33.3,0.0,33.3,66.7
Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arithmetic/Commerce | Cosmos/Earth | Music,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
Arithmetic/Commerce | Instruments/Measurement,0.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,20.0
Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Applied Mechanics/Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arithmetic/Commerce | Music,0.0,33.3,0.0,0.0,0.0,33.3,33.3,33.3,33.3
Arithmetic/Commerce | Visual/Spatial Arts | Cosmos/Earth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos/Earth,26.5,38.2,2.9,5.9,8.8,17.6,5.9,26.5,38.2
Geometry/Theory,12.5,11.5,4.2,7.3,4.9,12.8,11.1,14.2,16.0
Geometry/Theory | Applied Mechanics/Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geometry/Theory | Arithmetic/Commerce,0.0,4.2,4.2,4.2,0.0,25.0,20.8,0.0,4.2
Geometry/Theory | Arithmetic/Commerce | Applied Mechanics/Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth | Applied Mechanics/Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geometry/Theory | Arithmetic/Commerce | Cosmos/Earth | Music,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,0.0,28.6,28.6,14.3,14.3,14.3,14.3,28.6,28.6
Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | Applied Mechanics/Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
Geometry/Theory | Arithmetic/Commerce | Music,25.0,25.0,0.0,25.0,0.0,50.0,50.0,25.0,25.0
Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,0.0,100.0,100.0,50.0,0.0,0.0,0.0,100.0,100.0
Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Cosmos/Earth | Applied Mechanics/Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Instruments/Measurement | Applied Mechanics/Military,0.0,100.0,50.0,50.0,50.0,0.0,0.0,100.0,100.0
Geometry/Theory | Cosmos/Earth,11.1,22.2,11.1,0.0,11.1,0.0,0.0,22.2,22.2
Geometry/Theory | Instruments/Measurement,0.0,21.1,13.2,23.7,10.5,34.2,18.4,15.8,31.6
Geometry/Theory | Instruments/Measurement | Applied Mechanics/Military,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0
Geometry/Theory | Instruments/Measurement | Cosmos/Earth,10.0,30.0,20.0,10.0,10.0,30.0,30.0,30.0,30.0
Geometry/Theory | Visual/Spatial Arts,0.0,0.0,0.0,0.0,7.7,30.8,23.1,7.7,15.4
Geometry/Theory | Visual/Spatial Arts | Applied Mechanics/Military,33.3,33.3,0.0,0.0,0.0,66.7,33.3,33.3,66.7
Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,0.0,0.0,0.0,14.3,0.0,28.6,14.3,14.3,28.6
Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement | Applied Mechanics/Military,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0
Instruments/Measurement,0.0,20.0,20.0,0.0,6.7,20.0,20.0,20.0,20.0
Instruments/Measurement | Applied Mechanics/Military,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
Instruments/Measurement | Cosmos/Earth,12.5,12.5,0.0,0.0,0.0,12.5,12.5,12.5,12.5
