elements_books_group,excluded_cluster_pattern,motif,count_after_exclusion,denominator_after_exclusion,pct_after_exclusion,original_count,original_denominator,original_pct
books_1_13,Dechales/Reeve/Williams,proposition_any,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams,proposition_use_application,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams,proposition_selection_extraction,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams,proposition_ordering_reduction,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams,proposition_explanation_commentary,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams,demonstration_any,2,5,40.0,2,5,40.0
books_1_13,Dechales/Reeve/Williams,demonstration_easy_clear,2,5,40.0,2,5,40.0
books_1_13,Dechales/Reeve/Williams,demonstration_new,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams,demonstration_order_method,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams,demonstration_adapted_to_capacity,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams,proposition_and_demonstration,0,5,0.0,0,5,0.0
books_1_13,Tacquet,proposition_any,0,5,0.0,0,5,0.0
books_1_13,Tacquet,proposition_use_application,0,5,0.0,0,5,0.0
books_1_13,Tacquet,proposition_selection_extraction,0,5,0.0,0,5,0.0
books_1_13,Tacquet,proposition_ordering_reduction,0,5,0.0,0,5,0.0
books_1_13,Tacquet,proposition_explanation_commentary,0,5,0.0,0,5,0.0
books_1_13,Tacquet,demonstration_any,2,5,40.0,2,5,40.0
books_1_13,Tacquet,demonstration_easy_clear,2,5,40.0,2,5,40.0
books_1_13,Tacquet,demonstration_new,0,5,0.0,0,5,0.0
books_1_13,Tacquet,demonstration_order_method,0,5,0.0,0,5,0.0
books_1_13,Tacquet,demonstration_adapted_to_capacity,0,5,0.0,0,5,0.0
books_1_13,Tacquet,proposition_and_demonstration,0,5,0.0,0,5,0.0
books_1_13,Dou,proposition_any,0,5,0.0,0,5,0.0
books_1_13,Dou,proposition_use_application,0,5,0.0,0,5,0.0
books_1_13,Dou,proposition_selection_extraction,0,5,0.0,0,5,0.0
books_1_13,Dou,proposition_ordering_reduction,0,5,0.0,0,5,0.0
books_1_13,Dou,proposition_explanation_commentary,0,5,0.0,0,5,0.0
books_1_13,Dou,demonstration_any,2,5,40.0,2,5,40.0
books_1_13,Dou,demonstration_easy_clear,2,5,40.0,2,5,40.0
books_1_13,Dou,demonstration_new,0,5,0.0,0,5,0.0
books_1_13,Dou,demonstration_order_method,0,5,0.0,0,5,0.0
books_1_13,Dou,demonstration_adapted_to_capacity,0,5,0.0,0,5,0.0
books_1_13,Dou,proposition_and_demonstration,0,5,0.0,0,5,0.0
books_1_13,Henrion,proposition_any,0,5,0.0,0,5,0.0
books_1_13,Henrion,proposition_use_application,0,5,0.0,0,5,0.0
books_1_13,Henrion,proposition_selection_extraction,0,5,0.0,0,5,0.0
books_1_13,Henrion,proposition_ordering_reduction,0,5,0.0,0,5,0.0
books_1_13,Henrion,proposition_explanation_commentary,0,5,0.0,0,5,0.0
books_1_13,Henrion,demonstration_any,2,5,40.0,2,5,40.0
books_1_13,Henrion,demonstration_easy_clear,2,5,40.0,2,5,40.0
books_1_13,Henrion,demonstration_new,0,5,0.0,0,5,0.0
books_1_13,Henrion,demonstration_order_method,0,5,0.0,0,5,0.0
books_1_13,Henrion,demonstration_adapted_to_capacity,0,5,0.0,0,5,0.0
books_1_13,Henrion,proposition_and_demonstration,0,5,0.0,0,5,0.0
books_1_13,Clavius,proposition_any,0,5,0.0,0,5,0.0
books_1_13,Clavius,proposition_use_application,0,5,0.0,0,5,0.0
books_1_13,Clavius,proposition_selection_extraction,0,5,0.0,0,5,0.0
books_1_13,Clavius,proposition_ordering_reduction,0,5,0.0,0,5,0.0
books_1_13,Clavius,proposition_explanation_commentary,0,5,0.0,0,5,0.0
books_1_13,Clavius,demonstration_any,2,5,40.0,2,5,40.0
books_1_13,Clavius,demonstration_easy_clear,2,5,40.0,2,5,40.0
books_1_13,Clavius,demonstration_new,0,5,0.0,0,5,0.0
books_1_13,Clavius,demonstration_order_method,0,5,0.0,0,5,0.0
books_1_13,Clavius,demonstration_adapted_to_capacity,0,5,0.0,0,5,0.0
books_1_13,Clavius,proposition_and_demonstration,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams; Tacquet,proposition_any,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams; Tacquet,proposition_use_application,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams; Tacquet,proposition_selection_extraction,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams; Tacquet,proposition_ordering_reduction,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams; Tacquet,proposition_explanation_commentary,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams; Tacquet,demonstration_any,2,5,40.0,2,5,40.0
books_1_13,Dechales/Reeve/Williams; Tacquet,demonstration_easy_clear,2,5,40.0,2,5,40.0
books_1_13,Dechales/Reeve/Williams; Tacquet,demonstration_new,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams; Tacquet,demonstration_order_method,0,5,0.0,0,5,0.0
books_1_13,Dechales/Reeve/Williams; Tacquet,demonstration_adapted_to_capacity,0,5,0.0,0,5,0.0
