group,motif,count,denominator,pct
6,proposition_any,0,5,0.0
6,proposition_use_application,0,5,0.0
6,proposition_selection_extraction,0,5,0.0
6,proposition_ordering_reduction,0,5,0.0
6,proposition_explanation_commentary,0,5,0.0
6,demonstration_any,1,5,20.0
6,demonstration_easy_clear,1,5,20.0
6,demonstration_new,0,5,0.0
6,demonstration_order_method,0,5,0.0
6,demonstration_adapted_to_capacity,0,5,0.0
6,proposition_and_demonstration,0,5,0.0
duodecimo,proposition_any,10,30,33.3
duodecimo,proposition_use_application,5,30,16.7
duodecimo,proposition_selection_extraction,0,30,0.0
duodecimo,proposition_ordering_reduction,0,30,0.0
duodecimo,proposition_explanation_commentary,6,30,20.0
duodecimo,demonstration_any,8,30,26.7
duodecimo,demonstration_easy_clear,3,30,10.0
duodecimo,demonstration_new,2,30,6.7
duodecimo,demonstration_order_method,2,30,6.7
duodecimo,demonstration_adapted_to_capacity,1,30,3.3
duodecimo,proposition_and_demonstration,0,30,0.0
folio,proposition_any,3,54,5.6
folio,proposition_use_application,1,54,1.9
folio,proposition_selection_extraction,0,54,0.0
folio,proposition_ordering_reduction,0,54,0.0
folio,proposition_explanation_commentary,0,54,0.0
folio,demonstration_any,6,54,11.1
folio,demonstration_easy_clear,1,54,1.9
folio,demonstration_new,0,54,0.0
folio,demonstration_order_method,0,54,0.0
folio,demonstration_adapted_to_capacity,0,54,0.0
folio,proposition_and_demonstration,2,54,3.7
missing/unknown,proposition_any,0,18,0.0
missing/unknown,proposition_use_application,0,18,0.0
missing/unknown,proposition_selection_extraction,0,18,0.0
missing/unknown,proposition_ordering_reduction,0,18,0.0
missing/unknown,proposition_explanation_commentary,0,18,0.0
missing/unknown,demonstration_any,4,18,22.2
missing/unknown,demonstration_easy_clear,3,18,16.7
missing/unknown,demonstration_new,1,18,5.6
missing/unknown,demonstration_order_method,1,18,5.6
missing/unknown,demonstration_adapted_to_capacity,0,18,0.0
missing/unknown,proposition_and_demonstration,0,18,0.0
octavo,proposition_any,12,111,10.8
octavo,proposition_use_application,2,111,1.8
octavo,proposition_selection_extraction,2,111,1.8
octavo,proposition_ordering_reduction,1,111,0.9
octavo,proposition_explanation_commentary,2,111,1.8
octavo,demonstration_any,24,111,21.6
octavo,demonstration_easy_clear,8,111,7.2
octavo,demonstration_new,0,111,0.0
octavo,demonstration_order_method,2,111,1.8
octavo,demonstration_adapted_to_capacity,1,111,0.9
octavo,proposition_and_demonstration,1,111,0.9
quarto,proposition_any,4,67,6.0
quarto,proposition_use_application,1,67,1.5
quarto,proposition_selection_extraction,0,67,0.0
quarto,proposition_ordering_reduction,1,67,1.5
quarto,proposition_explanation_commentary,2,67,3.0
quarto,demonstration_any,15,67,22.4
quarto,demonstration_easy_clear,3,67,4.5
quarto,demonstration_new,1,67,1.5
quarto,demonstration_order_method,2,67,3.0
quarto,demonstration_adapted_to_capacity,0,67,0.0
quarto,proposition_and_demonstration,2,67,3.0
