group,motif,count,denominator,pct
DUTCH,proposition_any,2,21,9.5
DUTCH,proposition_use_application,0,21,0.0
DUTCH,proposition_selection_extraction,0,21,0.0
DUTCH,proposition_ordering_reduction,0,21,0.0
DUTCH,proposition_explanation_commentary,0,21,0.0
DUTCH,demonstration_any,1,21,4.8
DUTCH,demonstration_easy_clear,0,21,0.0
DUTCH,demonstration_new,0,21,0.0
DUTCH,demonstration_order_method,0,21,0.0
DUTCH,demonstration_adapted_to_capacity,0,21,0.0
DUTCH,proposition_and_demonstration,0,21,0.0
ENGLISH,proposition_any,7,20,35.0
ENGLISH,proposition_use_application,3,20,15.0
ENGLISH,proposition_selection_extraction,0,20,0.0
ENGLISH,proposition_ordering_reduction,0,20,0.0
ENGLISH,proposition_explanation_commentary,3,20,15.0
ENGLISH,demonstration_any,9,20,45.0
ENGLISH,demonstration_easy_clear,4,20,20.0
ENGLISH,demonstration_new,3,20,15.0
ENGLISH,demonstration_order_method,3,20,15.0
ENGLISH,demonstration_adapted_to_capacity,0,20,0.0
ENGLISH,proposition_and_demonstration,0,20,0.0
FRENCH,proposition_any,9,53,17.0
FRENCH,proposition_use_application,5,53,9.4
FRENCH,proposition_selection_extraction,0,53,0.0
FRENCH,proposition_ordering_reduction,1,53,1.9
FRENCH,proposition_explanation_commentary,7,53,13.2
FRENCH,demonstration_any,9,53,17.0
FRENCH,demonstration_easy_clear,2,53,3.8
FRENCH,demonstration_new,1,53,1.9
FRENCH,demonstration_order_method,2,53,3.8
FRENCH,demonstration_adapted_to_capacity,0,53,0.0
FRENCH,proposition_and_demonstration,2,53,3.8
GERMAN,proposition_any,0,13,0.0
GERMAN,proposition_use_application,0,13,0.0
GERMAN,proposition_selection_extraction,0,13,0.0
GERMAN,proposition_ordering_reduction,0,13,0.0
GERMAN,proposition_explanation_commentary,0,13,0.0
GERMAN,demonstration_any,2,13,15.4
GERMAN,demonstration_easy_clear,0,13,0.0
GERMAN,demonstration_new,0,13,0.0
GERMAN,demonstration_order_method,0,13,0.0
GERMAN,demonstration_adapted_to_capacity,0,13,0.0
GERMAN,proposition_and_demonstration,0,13,0.0
GREEK,proposition_any,2,16,12.5
GREEK,proposition_use_application,0,16,0.0
GREEK,proposition_selection_extraction,0,16,0.0
GREEK,proposition_ordering_reduction,0,16,0.0
GREEK,proposition_explanation_commentary,0,16,0.0
GREEK,demonstration_any,1,16,6.2
GREEK,demonstration_easy_clear,0,16,0.0
GREEK,demonstration_new,0,16,0.0
GREEK,demonstration_order_method,0,16,0.0
GREEK,demonstration_adapted_to_capacity,0,16,0.0
GREEK,proposition_and_demonstration,1,16,6.2
ITALIAN,proposition_any,0,12,0.0
ITALIAN,proposition_use_application,0,12,0.0
ITALIAN,proposition_selection_extraction,0,12,0.0
ITALIAN,proposition_ordering_reduction,0,12,0.0
ITALIAN,proposition_explanation_commentary,0,12,0.0
ITALIAN,demonstration_any,0,12,0.0
ITALIAN,demonstration_easy_clear,0,12,0.0
ITALIAN,demonstration_new,0,12,0.0
ITALIAN,demonstration_order_method,0,12,0.0
ITALIAN,demonstration_adapted_to_capacity,0,12,0.0
ITALIAN,proposition_and_demonstration,0,12,0.0
LATIN,proposition_any,8,139,5.8
LATIN,proposition_use_application,1,139,0.7
LATIN,proposition_selection_extraction,2,139,1.4
LATIN,proposition_ordering_reduction,1,139,0.7
LATIN,proposition_explanation_commentary,0,139,0.0
LATIN,demonstration_any,36,139,25.9
LATIN,demonstration_easy_clear,13,139,9.4
LATIN,demonstration_new,0,139,0.0
LATIN,demonstration_order_method,2,139,1.4
LATIN,demonstration_adapted_to_capacity,2,139,1.4
LATIN,proposition_and_demonstration,2,139,1.4
SPANISH,proposition_any,1,6,16.7
SPANISH,proposition_use_application,0,6,0.0
SPANISH,proposition_selection_extraction,0,6,0.0
SPANISH,proposition_ordering_reduction,0,6,0.0
SPANISH,proposition_explanation_commentary,0,6,0.0
SPANISH,demonstration_any,0,6,0.0
SPANISH,demonstration_easy_clear,0,6,0.0
SPANISH,demonstration_new,0,6,0.0
SPANISH,demonstration_order_method,0,6,0.0
SPANISH,demonstration_adapted_to_capacity,0,6,0.0
SPANISH,proposition_and_demonstration,0,6,0.0
