group,motif,count,denominator,pct
Clavius,proposition_any,1,10,10.0
Clavius,proposition_use_application,0,10,0.0
Clavius,proposition_selection_extraction,0,10,0.0
Clavius,proposition_ordering_reduction,0,10,0.0
Clavius,proposition_explanation_commentary,0,10,0.0
Clavius,demonstration_any,5,10,50.0
Clavius,demonstration_easy_clear,0,10,0.0
Clavius,demonstration_new,0,10,0.0
Clavius,demonstration_order_method,0,10,0.0
Clavius,demonstration_adapted_to_capacity,0,10,0.0
Clavius,proposition_and_demonstration,0,10,0.0
Commandino,proposition_any,0,3,0.0
Commandino,proposition_use_application,0,3,0.0
Commandino,proposition_selection_extraction,0,3,0.0
Commandino,proposition_ordering_reduction,0,3,0.0
Commandino,proposition_explanation_commentary,0,3,0.0
Commandino,demonstration_any,0,3,0.0
Commandino,demonstration_easy_clear,0,3,0.0
Commandino,demonstration_new,0,3,0.0
Commandino,demonstration_order_method,0,3,0.0
Commandino,demonstration_adapted_to_capacity,0,3,0.0
Commandino,proposition_and_demonstration,0,3,0.0
Dechales/Reeve/Williams,proposition_any,11,16,68.8
Dechales/Reeve/Williams,proposition_use_application,8,16,50.0
Dechales/Reeve/Williams,proposition_selection_extraction,0,16,0.0
Dechales/Reeve/Williams,proposition_ordering_reduction,0,16,0.0
Dechales/Reeve/Williams,proposition_explanation_commentary,9,16,56.2
Dechales/Reeve/Williams,demonstration_any,2,16,12.5
Dechales/Reeve/Williams,demonstration_easy_clear,2,16,12.5
Dechales/Reeve/Williams,demonstration_new,2,16,12.5
Dechales/Reeve/Williams,demonstration_order_method,2,16,12.5
Dechales/Reeve/Williams,demonstration_adapted_to_capacity,0,16,0.0
Dechales/Reeve/Williams,proposition_and_demonstration,0,16,0.0
Dou,proposition_any,0,12,0.0
Dou,proposition_use_application,0,12,0.0
Dou,proposition_selection_extraction,0,12,0.0
Dou,proposition_ordering_reduction,0,12,0.0
Dou,proposition_explanation_commentary,0,12,0.0
Dou,demonstration_any,0,12,0.0
Dou,demonstration_easy_clear,0,12,0.0
Dou,demonstration_new,0,12,0.0
Dou,demonstration_order_method,0,12,0.0
Dou,demonstration_adapted_to_capacity,0,12,0.0
Dou,proposition_and_demonstration,0,12,0.0
Henrion,proposition_any,0,9,0.0
Henrion,proposition_use_application,0,9,0.0
Henrion,proposition_selection_extraction,0,9,0.0
Henrion,proposition_ordering_reduction,0,9,0.0
Henrion,proposition_explanation_commentary,0,9,0.0
Henrion,demonstration_any,0,9,0.0
Henrion,demonstration_easy_clear,0,9,0.0
Henrion,demonstration_new,0,9,0.0
Henrion,demonstration_order_method,0,9,0.0
Henrion,demonstration_adapted_to_capacity,0,9,0.0
Henrion,proposition_and_demonstration,0,9,0.0
Other / no major cluster,proposition_any,15,225,6.7
Other / no major cluster,proposition_use_application,1,225,0.4
Other / no major cluster,proposition_selection_extraction,2,225,0.9
Other / no major cluster,proposition_ordering_reduction,2,225,0.9
Other / no major cluster,proposition_explanation_commentary,1,225,0.4
Other / no major cluster,demonstration_any,48,225,21.3
Other / no major cluster,demonstration_easy_clear,17,225,7.6
Other / no major cluster,demonstration_new,1,225,0.4
Other / no major cluster,demonstration_order_method,5,225,2.2
Other / no major cluster,demonstration_adapted_to_capacity,2,225,0.9
Other / no major cluster,proposition_and_demonstration,4,225,1.8
Tacquet,proposition_any,1,8,12.5
Tacquet,proposition_use_application,0,8,0.0
Tacquet,proposition_selection_extraction,0,8,0.0
Tacquet,proposition_ordering_reduction,0,8,0.0
Tacquet,proposition_explanation_commentary,0,8,0.0
Tacquet,demonstration_any,0,8,0.0
Tacquet,demonstration_easy_clear,0,8,0.0
Tacquet,demonstration_new,0,8,0.0
Tacquet,demonstration_order_method,0,8,0.0
Tacquet,demonstration_adapted_to_capacity,0,8,0.0
Tacquet,proposition_and_demonstration,0,8,0.0
