group,motif,count,denominator,pct
composite/apparatus,proposition_any,0,6,0.0
composite/apparatus,proposition_use_application,0,6,0.0
composite/apparatus,proposition_selection_extraction,0,6,0.0
composite/apparatus,proposition_ordering_reduction,0,6,0.0
composite/apparatus,proposition_explanation_commentary,0,6,0.0
composite/apparatus,demonstration_any,0,6,0.0
composite/apparatus,demonstration_easy_clear,0,6,0.0
composite/apparatus,demonstration_new,0,6,0.0
composite/apparatus,demonstration_order_method,0,6,0.0
composite/apparatus,demonstration_adapted_to_capacity,0,6,0.0
composite/apparatus,proposition_and_demonstration,0,6,0.0
humanist/vernacular transfer,proposition_any,2,23,8.7
humanist/vernacular transfer,proposition_use_application,0,23,0.0
humanist/vernacular transfer,proposition_selection_extraction,1,23,4.3
humanist/vernacular transfer,proposition_ordering_reduction,0,23,0.0
humanist/vernacular transfer,proposition_explanation_commentary,0,23,0.0
humanist/vernacular transfer,demonstration_any,2,23,8.7
humanist/vernacular transfer,demonstration_easy_clear,0,23,0.0
humanist/vernacular transfer,demonstration_new,0,23,0.0
humanist/vernacular transfer,demonstration_order_method,0,23,0.0
humanist/vernacular transfer,demonstration_adapted_to_capacity,0,23,0.0
humanist/vernacular transfer,proposition_and_demonstration,0,23,0.0
institutional-composite,proposition_any,5,113,4.4
institutional-composite,proposition_use_application,1,113,0.9
institutional-composite,proposition_selection_extraction,0,113,0.0
institutional-composite,proposition_ordering_reduction,0,113,0.0
institutional-composite,proposition_explanation_commentary,0,113,0.0
institutional-composite,demonstration_any,30,113,26.5
institutional-composite,demonstration_easy_clear,6,113,5.3
institutional-composite,demonstration_new,0,113,0.0
institutional-composite,demonstration_order_method,1,113,0.9
institutional-composite,demonstration_adapted_to_capacity,0,113,0.0
institutional-composite,proposition_and_demonstration,3,113,2.7
institutional/authority,proposition_any,0,8,0.0
institutional/authority,proposition_use_application,0,8,0.0
institutional/authority,proposition_selection_extraction,0,8,0.0
institutional/authority,proposition_ordering_reduction,0,8,0.0
institutional/authority,proposition_explanation_commentary,0,8,0.0
institutional/authority,demonstration_any,0,8,0.0
institutional/authority,demonstration_easy_clear,0,8,0.0
institutional/authority,demonstration_new,0,8,0.0
institutional/authority,demonstration_order_method,0,8,0.0
institutional/authority,demonstration_adapted_to_capacity,0,8,0.0
institutional/authority,proposition_and_demonstration,0,8,0.0
low-signal/other,proposition_any,1,12,8.3
low-signal/other,proposition_use_application,0,12,0.0
low-signal/other,proposition_selection_extraction,0,12,0.0
low-signal/other,proposition_ordering_reduction,0,12,0.0
low-signal/other,proposition_explanation_commentary,0,12,0.0
low-signal/other,demonstration_any,0,12,0.0
low-signal/other,demonstration_easy_clear,0,12,0.0
low-signal/other,demonstration_new,0,12,0.0
low-signal/other,demonstration_order_method,0,12,0.0
low-signal/other,demonstration_adapted_to_capacity,0,12,0.0
low-signal/other,proposition_and_demonstration,0,12,0.0
pedagogical/method,proposition_any,7,29,24.1
pedagogical/method,proposition_use_application,0,29,0.0
pedagogical/method,proposition_selection_extraction,1,29,3.4
pedagogical/method,proposition_ordering_reduction,1,29,3.4
pedagogical/method,proposition_explanation_commentary,1,29,3.4
pedagogical/method,demonstration_any,12,29,41.4
pedagogical/method,demonstration_easy_clear,4,29,13.8
pedagogical/method,demonstration_new,1,29,3.4
pedagogical/method,demonstration_order_method,1,29,3.4
pedagogical/method,demonstration_adapted_to_capacity,0,29,0.0
pedagogical/method,proposition_and_demonstration,1,29,3.4
practical-pedagogical,proposition_any,14,72,19.4
practical-pedagogical,proposition_use_application,8,72,11.1
practical-pedagogical,proposition_selection_extraction,0,72,0.0
practical-pedagogical,proposition_ordering_reduction,1,72,1.4
practical-pedagogical,proposition_explanation_commentary,9,72,12.5
practical-pedagogical,demonstration_any,14,72,19.4
practical-pedagogical,demonstration_easy_clear,9,72,12.5
practical-pedagogical,demonstration_new,3,72,4.2
practical-pedagogical,demonstration_order_method,5,72,6.9
practical-pedagogical,demonstration_adapted_to_capacity,2,72,2.8
practical-pedagogical,proposition_and_demonstration,1,72,1.4
sparse/canonical,proposition_any,0,21,0.0
sparse/canonical,proposition_use_application,0,21,0.0
sparse/canonical,proposition_selection_extraction,0,21,0.0
sparse/canonical,proposition_ordering_reduction,0,21,0.0
sparse/canonical,proposition_explanation_commentary,0,21,0.0
sparse/canonical,demonstration_any,0,21,0.0
sparse/canonical,demonstration_easy_clear,0,21,0.0
sparse/canonical,demonstration_new,0,21,0.0
sparse/canonical,demonstration_order_method,0,21,0.0
sparse/canonical,demonstration_adapted_to_capacity,0,21,0.0
sparse/canonical,proposition_and_demonstration,0,21,0.0
