group,motif,count,denominator,pct
1550-1599,proposition_any,7,55,12.7
1550-1599,proposition_use_application,1,55,1.8
1550-1599,proposition_selection_extraction,2,55,3.6
1550-1599,proposition_ordering_reduction,1,55,1.8
1550-1599,proposition_explanation_commentary,0,55,0.0
1550-1599,demonstration_any,8,55,14.5
1550-1599,demonstration_easy_clear,1,55,1.8
1550-1599,demonstration_new,0,55,0.0
1550-1599,demonstration_order_method,0,55,0.0
1550-1599,demonstration_adapted_to_capacity,0,55,0.0
1550-1599,proposition_and_demonstration,2,55,3.6
1600-1649,proposition_any,3,75,4.0
1600-1649,proposition_use_application,0,75,0.0
1600-1649,proposition_selection_extraction,0,75,0.0
1600-1649,proposition_ordering_reduction,1,75,1.3
1600-1649,proposition_explanation_commentary,1,75,1.3
1600-1649,demonstration_any,19,75,25.3
1600-1649,demonstration_easy_clear,4,75,5.3
1600-1649,demonstration_new,0,75,0.0
1600-1649,demonstration_order_method,1,75,1.3
1600-1649,demonstration_adapted_to_capacity,2,75,2.7
1600-1649,proposition_and_demonstration,2,75,2.7
1650-1699,proposition_any,13,83,15.7
1650-1699,proposition_use_application,6,83,7.2
1650-1699,proposition_selection_extraction,0,83,0.0
1650-1699,proposition_ordering_reduction,0,83,0.0
1650-1699,proposition_explanation_commentary,7,83,8.4
1650-1699,demonstration_any,23,83,27.7
1650-1699,demonstration_easy_clear,12,83,14.5
1650-1699,demonstration_new,2,83,2.4
1650-1699,demonstration_order_method,2,83,2.4
1650-1699,demonstration_adapted_to_capacity,0,83,0.0
1650-1699,proposition_and_demonstration,1,83,1.2
1700+,proposition_any,5,40,12.5
1700+,proposition_use_application,2,40,5.0
1700+,proposition_selection_extraction,0,40,0.0
1700+,proposition_ordering_reduction,0,40,0.0
1700+,proposition_explanation_commentary,2,40,5.0
1700+,demonstration_any,6,40,15.0
1700+,demonstration_easy_clear,2,40,5.0
1700+,demonstration_new,2,40,5.0
1700+,demonstration_order_method,4,40,10.0
1700+,demonstration_adapted_to_capacity,0,40,0.0
1700+,proposition_and_demonstration,0,40,0.0
pre-1550,proposition_any,1,32,3.1
pre-1550,proposition_use_application,0,32,0.0
pre-1550,proposition_selection_extraction,0,32,0.0
pre-1550,proposition_ordering_reduction,0,32,0.0
pre-1550,proposition_explanation_commentary,0,32,0.0
pre-1550,demonstration_any,2,32,6.2
pre-1550,demonstration_easy_clear,0,32,0.0
pre-1550,demonstration_new,0,32,0.0
pre-1550,demonstration_order_method,0,32,0.0
pre-1550,demonstration_adapted_to_capacity,0,32,0.0
pre-1550,proposition_and_demonstration,0,32,0.0
