subject,marker,count,denominator,pct
Arithmetic/Commerce,Students/learners,4,144,2.8
Arithmetic/Commerce,General readers/lovers,7,144,4.9
Arithmetic/Commerce,Mathematicians/scholars,1,144,0.7
Arithmetic/Commerce,Artisans/visual trades,1,144,0.7
Arithmetic/Commerce,Architects/builders,0,144,0.0
Arithmetic/Commerce,Surveyors/engineers,2,144,1.4
Arithmetic/Commerce,Military users,2,144,1.4
Arithmetic/Commerce,Merchants/commercial,1,144,0.7
Arithmetic/Commerce,Nobility/court audience,4,144,2.8
Arithmetic/Commerce,Universities/academies,3,144,2.1
Arithmetic/Commerce,Jesuit,5,144,3.5
Arithmetic/Commerce,Other religious orders,0,144,0.0
Arithmetic/Commerce,Royal/court institution,2,144,1.4
Arithmetic/Commerce,Civic/state institution,0,144,0.0
Arithmetic/Commerce,Engineering/military schools,0,144,0.0
Arithmetic/Commerce,Math professor/lecturer,12,144,8.3
Arithmetic/Commerce,Royal official,5,144,3.5
Arithmetic/Commerce,Religious identity,2,144,1.4
Arithmetic/Commerce,Engineer/practitioner,2,144,1.4
Arithmetic/Commerce,Royal/princely patron,2,144,1.4
Arithmetic/Commerce,Noble patron,3,144,2.1
Arithmetic/Commerce,Ecclesiastical patron,0,144,0.0
Arithmetic/Commerce,Civic/collective patron,0,144,0.0
Arithmetic/Commerce,Named private patron,15,144,10.4
Geometry/Theory,Students/learners,10,424,2.4
Geometry/Theory,General readers/lovers,28,424,6.6
Geometry/Theory,Mathematicians/scholars,3,424,0.7
Geometry/Theory,Artisans/visual trades,0,424,0.0
Geometry/Theory,Architects/builders,0,424,0.0
Geometry/Theory,Surveyors/engineers,7,424,1.7
Geometry/Theory,Military users,6,424,1.4
Geometry/Theory,Merchants/commercial,0,424,0.0
Geometry/Theory,Nobility/court audience,4,424,0.9
Geometry/Theory,Universities/academies,7,424,1.7
Geometry/Theory,Jesuit,19,424,4.5
Geometry/Theory,Other religious orders,1,424,0.2
Geometry/Theory,Royal/court institution,8,424,1.9
Geometry/Theory,Civic/state institution,2,424,0.5
Geometry/Theory,Engineering/military schools,1,424,0.2
Geometry/Theory,Math professor/lecturer,33,424,7.8
Geometry/Theory,Royal official,26,424,6.1
Geometry/Theory,Religious identity,12,424,2.8
Geometry/Theory,Engineer/practitioner,9,424,2.1
