edition_id,language,year,city,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count,base_content,elements_designation,references_to_euclid,description_of_euclid,content_description,edition_details,enriched_with,bound_with_minimal,bound_with,audience,institutions,editor_name,editor_description,educational_authorities_references,origin_language,destination_language,action_verbs,date_in_imprint,location_in_imprint,publisher_in_imprint
0NKS71,FRENCH,1568,Paris,Gnomonics & Horology,Instrument Use | Practical Geometry,,1,2,0,,,,,,,,,,,,Pierre For- cadel,Lecteur du Roy ez Mathe- matiques,,,,demonstrée,1568,"PARIS | l'Escu de Venise, rue S. Iaques",Mathurin Preuost
144JC3,ITALIAN,1586,Ferrara,Theoretical Mathematics,Practical Geometry,Architecture | Instrument Use,1,1,2,DELLA NVOVA GEOMETRIA DI FRANC. PATRICI LIBRI XV,,,,"Ne’ quali con mirabile ordine, e con dimostra- zioni à marauiglia più facili, e più forti del le vſate si vede che le Matematiche per via Regia, e più piana che da gli antichi fatto non si è, si possono trattare",,,,,,,,,,,,,1587,FERRARA,Vittorio Baldini Stampator Ducale
2I9HSY,FRENCH,1560,Paris,Perspective,,Architecture | Practical Geometry,1,0,2,,,,,,,,,,,,Iehan Cousin,"Senonois, maistre Painctre à Paris",,,,,1560,PARIS,De l'Imprimerie de Iehan le Royer Imprimeur du Roy és Mathematiques
4TJF1A,FRENCH,1557,Paris,Arithmetic | Theoretical Mathematics,,,2,0,0,LE SECOND LIVRE DE L'ARITHMETIQVE,,,,"AVQVEL SERONT DECLAREES LES fractions vulgaires, auec leurs demonstrations, par les quantitez continues, & premieres causes des esgallissemens de l'Algebre",,,,,,,P. FOR- CADEL DE BEZIERS,,,,,nouuellement inuenté,1557,"PARIS,Chez Guillaume Cauellat, à l'enseigne de la poulle grasse, deuant le college de Cambray",Chez Guillaume Cauellat
5J1UUA,FRENCH,1573,Paris,Arithmetic,,,1,0,0,L'ARITHMETIQVE ENTIERE ET ABREGEE,,,,,Reueue & augmentee par le mesme Forcadel,,,,,,P. FORCADEL,LECTEVR DV ROY EZ MATHEMATIQVES,,,,Reueue | augmentee,1573,"PARIS | au mont S. Hilaire, à l'en- seigne du Pelican","De l'Imprimerie de Hierosme de Marnef, & Guillaume Cauellar"
5KCP5R,DUTCH,1553,Antwerp,Architecture | Perspective,Practical Geometry,Instrument Use,2,1,1,,,,,,,,,,,,Peeter Coecke van Aelst,Schildere der K. Maiesteyt,Sebastiani Serlij,vten Italiaen- sche,in nederlandts,Overgheset | Ghedruct | doen,,,
5V691B,LATIN,1583,Basel,,Theoretical Mathematics,,0,1,0,in Euclidis & Rami ἐννέαϐι- ϐλια,in Euclidis & Rami ἐννέαϐι- ϐλια,Euclidis,,in quibus Logica veterum Mathematicorum illustratur & demonstratur,,,,,,,IOAN. THOMÆ FREIGII,,,,,illustratur | demonstratur,,,PER SEBASTIANVM HENRICPETRI
612FNN,ITALIAN,1583,Rome,Perspective,,Practical Geometry,1,0,1,,,,,,,Con i comentarij del R.P.M,,,,ordine de Predicatori | Studio di Bologna,Egnatio Danti,dell'ordine de Predicatori Matematico dello Studio di Bologna,R.P.M,,,,M. D. LXXXIII,IN ROMA,Francesco Zannetti
6AMYTJ,FRENCH,1557,Paris,Arithmetic,Theoretical Mathematics,,1,1,0,,,,,,,,,,,,P. FORCADEL DE BEZIERS,,,,,,1557,"A PARIS | Chez Guillaume Cauellat, à l'enseigne de la Poulle grasse, deuant le college de Cambray",Guillaume Cauellat
6PMNRZ,LATIN,1526,Paris,Arithmetic | Commercial Mathematics,,,2,0,0,,,,,,te collatio huius æditionis cum priore palam doctura est,,,,,,CA IOANNIS MARTINI Silicei,,Thoma Rhæto,,,vindicata,1526,PARISIIS,Apud Simonem Colinaeum
6X6R6Y,GERMAN,1547,Nuremberg,Architecture | Construction | Perspective | Practical Geometry,Instrument Use | Military Engineering,,4,2,0,,,,,,,Mit ge- trewer vnterweisung | Mit sonderlicher abtheilung,Perspectiua | Geometrischen Büxenmei- sterey | Geometrischen Messung,Der newen Perspectiua das .1. buch | Weiteren inhalt des II. vnd III. Buchs der Geometrischen Büxenmei- sterey / vnd Geometrischen Messung,Allen Künstlichen Handtwerckern / Werckmeistern / Steinmetzen / Bawmeistern / Zeug oder Büxenmeiste- ren / Maleren / Bildhaweren / Goldschmiden / Schreineren,,Gualtherum H. Riuium,Medi. & Math,Vitruuij,,,abgetheilet,,,
7Y5IWJ,FRENCH,1582,Antwerp,Arithmetic,,,1,0,0,L'ARITHMETIQVE de Gemme Phrison,,,,,,de comme- taires | plusieurs inuentions nouuelles dudit Forcadel,,,,,Pierre Forcadel de Beziers,professeur ordinaire des Mathe- matiques,,,en François,Traduite | illustrée,M. D. LXXXII,ANVERS,Chez Iean VVidhage
93PZQ5,"LATIN, FRENCH",1505,Toul,Perspective,,,1,0,0,,,,,,,,,,,,Viator,,,,,,,,
B9OW5O,GERMAN,1583,Vienna,Perspective | Practical Geometry,Architecture,,2,1,0,,,,,,,,,,allen Ma- lern / Tischlern,,Georgen Hasen,,,,,gestelt,M. D. LXXXIII,Wienn in Österreich,Steffan Creuzer
C8SLYQ,GERMAN,1531,Simmern,Perspective | Practical Geometry,Architecture,,2,1,0,,,,,,,mit vil schö- nen darzu dienenden figuren,,,Zu nutz allen kunstliebhabern / fürnemlich den Malern / Bildhauwern / Goldschmiden / Seidenstickern / Steynmetzen / Schreinern / auch allen andern,,,,,,,,,,
E4JQEB,FRENCH,1570,Paris,Arithmetic,,,1,0,0,,,,,,,COMMENTEE,,,,,PIERRE FORCADEL,Lecteur du Roy ez Mathe- matiques,,,,DEMONSTREE | TRA- DVITE | COMMENTEE,1570,"Chez Hierosme de Marnef, & Guillaume Cauellat, au mont S. Hilaire, à l'enseigne du Pelican","Hierosme de Marnef, & Guillaume Cauellat"
