"Page/Key","Edition Details","Feature Name","Feature Description","Feature Revision","Value"
"bib-247","1484, Venice - Questa infrascripta tauola dimo
stra e dimostra la significatioen de le
infrascripte cifre e quello che leua
no z significano...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::primary, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"DDUZGF","1488, Augsburg - De institutione arithmetica","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-248","1491/1492, Florence - Aritmetica","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-14","1494, Venice - Somma di arithmetica, geometria, proporzioni e proporzionalità","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::primary, Trigonometry::unrelated"
"1496","1496 - Arithmetica decem libris demonstrata","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::primary, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::secondary, Trigonometry::unrelated"
"bib-155","1503, Freiburg - Margarita philosophica","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unknown, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-174","1503, Paris - Epitome compendiosaque introductio in libros arithmeticos divi Severini Boetii, adjecto familiari commentario dilucidata. Pra...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::primary, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::secondary, Trigonometry::unrelated"
"bib-173","1503, Paris - LIBRI LOGICORUM  
Ad archetypos recogniti, cum novis ad litteras com­menta­riis: ad felices primum parhisi­orum & comu­niter ...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"93PZQ5","1505, Toul - De artificiali perspectiva. Viator","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"XXI4KS","1509, Nuremberg - Von der kunnst perspectiva","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unknown, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-167","1511, Paris - Q uehoc volumine
 continetur.
 Liber de intellectu.
 Liber de sensu.
 Liber de nichilo.
 Ars oppositorum.
 Liber de generatio...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::primary, Trigonometry::unrelated"
"bib-168","1513, Paris - Caroli Houilliae
marobrini. Quaestionum Theologicarum Libri
septem: cetenas atque ita in universum septinge-
tas quaestiones ...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-277","1514, Augsburg - Ain New geordnet Rech
en Biechlin auf den Linien
mit Rechen pfenningen: den
Jungen anzenden zu beüß-
lichem gebrauch und benö...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::primary, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
