edition_id,language,year,city,subject,final_value,final_source,final_reason,concerns,review_file,review_notes,review_error_type,Orig_Value,llm_Value_6,llm_Value_7,llm_Value_8
0NKS71,FRENCH,1568,Paris,Architecture,unrelated,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Arithmetic,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Astronomy,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,,unrelated,secondary,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Cartography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Commercial Mathematics,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Construction,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Cosmography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Geography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Gnomonics & Horology,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,primary,primary,primary,primary
0NKS71,FRENCH,1568,Paris,Instrument Construction,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,,unrelated,secondary,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Instrument Use,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,v6_diagnostic_review.csv,,,unrelated,secondary,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Mechanics,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Military Engineering,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Music Theory,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Navigation,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Perspective,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,,unrelated,secondary,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Surveying,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Theoretical Mathematics,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Trigonometry,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,,unrelated,secondary,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,,unrelated,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Arithmetic,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Astronomy,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Cartography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Commercial Mathematics,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Construction,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Cosmography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Geography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Gnomonics & Horology,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Instrument Construction,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,,unrelated,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,,unrelated,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Mechanics,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Military Engineering,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Music Theory,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Navigation,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Perspective,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,,unrelated,secondary,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Surveying,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,,unrelated,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Theoretical Mathematics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,primary,primary,primary,primary
144JC3,ITALIAN,1586,Ferrara,Trigonometry,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,,unrelated,unknown,unrelated,unrelated
1496,LATIN,1496,,Architecture,unrelated,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,primary,primary,primary,primary
1496,LATIN,1496,,Astronomy,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Cartography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Commercial Mathematics,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Construction,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Cosmography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Geography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Gnomonics & Horology,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Instrument Construction,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Instrument Use,unrelated,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Mechanics,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Military Engineering,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Music Theory,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,primary,primary,primary,primary
1496,LATIN,1496,,Navigation,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Perspective,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Practical Geometry,unrelated,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Surveying,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
1496,LATIN,1496,,Theoretical Mathematics,secondary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement; review-sensitive-category; differs-from-original-csv,,,,unrelated,unrelated,unrelated,secondary
1496,LATIN,1496,,Trigonometry,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,,primary,unknown,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Arithmetic,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,,unrelated,unknown,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Astronomy,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Cartography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Commercial Mathematics,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Construction,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,prompt-disagreement; review-sensitive-category; differs-from-original-csv,,,,primary,primary,unrelated,primary
2BRI1Z,ENGLISH,1598,Oxford,Cosmography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Geography,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Gnomonics & Horology,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Instrument Construction,unrelated,llm_Value_7,category policy: V7 was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Instrument Use,unrelated,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Mechanics,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,,unrelated,unknown,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Military Engineering,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Music Theory,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Navigation,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Perspective,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,,primary,primary,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,,secondary,unknown,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Surveying,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,,unrelated,unrelated,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Theoretical Mathematics,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement; review-sensitive-category,,,,unrelated,unknown,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Trigonometry,unrelated,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement,,,,unrelated,unknown,unrelated,unrelated
