edition_id,language,year,city,Architecture,Arithmetic,Astronomy,Cartography,Commercial Mathematics,Construction,Cosmography,Geography,Gnomonics & Horology,Instrument Construction,Instrument Use,Mechanics,Military Engineering,Music Theory,Navigation,Perspective,Practical Geometry,Surveying,Theoretical Mathematics,Trigonometry,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count
0NKS71,FRENCH,1568,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,Gnomonics & Horology,Instrument Use | Practical Geometry,,1,2,0
144JC3,ITALIAN,1586,Ferrara,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated,Theoretical Mathematics,Practical Geometry,Architecture | Instrument Use,1,1,2
1496,LATIN,1496,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,Arithmetic | Music Theory,Theoretical Mathematics,,2,1,0
2BRI1Z,ENGLISH,1598,Oxford,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,,,Architecture | Practical Geometry,0,0,2
2I9HSY,FRENCH,1560,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated,Perspective,,Architecture | Practical Geometry,1,0,2
4TJF1A,FRENCH,1557,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,Arithmetic | Theoretical Mathematics,,,2,0,0
5J1UUA,FRENCH,1573,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
5KCP5R,DUTCH,1553,Antwerp,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated,Architecture | Perspective,Practical Geometry,Instrument Use,2,1,1
5V691B,LATIN,1583,Basel,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,,Theoretical Mathematics,,0,1,0
612FNN,ITALIAN,1583,Rome,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated,Perspective,,Practical Geometry,1,0,1
6AMYTJ,FRENCH,1557,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,Arithmetic,Theoretical Mathematics,,1,1,0
6PMNRZ,LATIN,1526,Paris,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic | Commercial Mathematics,,,2,0,0
6X6R6Y,GERMAN,1547,Nuremberg,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,secondary,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,Architecture | Construction | Perspective | Practical Geometry,Instrument Use | Military Engineering,,4,2,0
7Y5IWJ,FRENCH,1582,Antwerp,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
93PZQ5,"LATIN, FRENCH",1505,Toul,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,Perspective,,,1,0,0
B9OW5O,GERMAN,1583,Vienna,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,Perspective | Practical Geometry,Architecture,,2,1,0
C8SLYQ,GERMAN,1531,Simmern,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,Perspective | Practical Geometry,Architecture,,2,1,0
DDUZGF,LATIN,1488,Augsburg,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
E4JQEB,FRENCH,1570,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
Ferrara_1587,ITALIAN,1587,Ferrara,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,primary,unrelated,Theoretical Mathematics,,Architecture | Practical Geometry,1,0,2
GGD02E,ITALIAN,1596,Venice,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated,Perspective,,Architecture | Instrument Use | Practical Geometry,1,0,3
JTRIRS,ITALIAN,1569,Venice,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated,Perspective,Architecture | Practical Geometry,,1,2,0
