edition_id,language,year,city,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count
0NKS71,FRENCH,1568,Paris,Gnomonics & Horology,Instrument Use | Practical Geometry,,1,2,0
144JC3,ITALIAN,1586,Ferrara,Theoretical Mathematics,Practical Geometry,Architecture | Instrument Use,1,1,2
1496,LATIN,1496,,Arithmetic | Music Theory,Theoretical Mathematics,,2,1,0
2BRI1Z,ENGLISH,1598,Oxford,,,Architecture | Practical Geometry,0,0,2
2I9HSY,FRENCH,1560,Paris,Perspective,,Architecture | Practical Geometry,1,0,2
4TJF1A,FRENCH,1557,Paris,Arithmetic | Theoretical Mathematics,,,2,0,0
5J1UUA,FRENCH,1573,Paris,Arithmetic,,,1,0,0
5KCP5R,DUTCH,1553,Antwerp,Architecture | Perspective,Practical Geometry,Instrument Use,2,1,1
5V691B,LATIN,1583,Basel,,Theoretical Mathematics,,0,1,0
612FNN,ITALIAN,1583,Rome,Perspective,,Practical Geometry,1,0,1
6AMYTJ,FRENCH,1557,Paris,Arithmetic,Theoretical Mathematics,,1,1,0
6PMNRZ,LATIN,1526,Paris,Arithmetic | Commercial Mathematics,,,2,0,0
6X6R6Y,GERMAN,1547,Nuremberg,Architecture | Construction | Perspective | Practical Geometry,Instrument Use | Military Engineering,,4,2,0
7Y5IWJ,FRENCH,1582,Antwerp,Arithmetic,,,1,0,0
93PZQ5,"LATIN, FRENCH",1505,Toul,Perspective,,,1,0,0
B9OW5O,GERMAN,1583,Vienna,Perspective | Practical Geometry,Architecture,,2,1,0
C8SLYQ,GERMAN,1531,Simmern,Perspective | Practical Geometry,Architecture,,2,1,0
DDUZGF,LATIN,1488,Augsburg,Arithmetic,,,1,0,0
E4JQEB,FRENCH,1570,Paris,Arithmetic,,,1,0,0
Ferrara_1587,ITALIAN,1587,Ferrara,Theoretical Mathematics,,Architecture | Practical Geometry,1,0,2
GGD02E,ITALIAN,1596,Venice,Perspective,,Architecture | Instrument Use | Practical Geometry,1,0,3
JTRIRS,ITALIAN,1569,Venice,Perspective,Architecture | Practical Geometry,,1,2,0
JXC181,ITALIAN,1569,Venice,Perspective,Architecture | Practical Geometry,,1,2,0
JZ3MT9,LATIN,1593,Antwerp,Practical Geometry,Theoretical Mathematics,,1,1,0
K7DERJ,GERMAN,1567,Augsburg,Perspective | Practical Geometry,Construction,,2,1,0
L3XLGB,FRENCH,1564,Poitiers,Gnomonics & Horology | Instrument Construction,Instrument Use | Practical Geometry,,2,2,0
L8R7FQ,FRENCH,1556,Paris,Arithmetic,,,1,0,0
LQNZBJ,FRENCH,1572,Paris,Astronomy,Architecture,,1,1,0
MIZPJ8,GERMAN,1568,Nuremberg,Perspective,Practical Geometry,,1,1,0
MYFHIS,ITALIAN,1584,Venice,Architecture | Construction,,Instrument Use | Practical Geometry,2,0,2
N000JX,LATIN,1516,Alcala,Arithmetic | Astronomy | Music Theory,,Instrument Use | Practical Geometry,3,0,2
NTML0S,ITALIAN,1600,Venice,Architecture | Perspective,Construction | Practical Geometry,Instrument Use,2,2,1
Nuremberg_1539,GERMAN,1539,Nuremberg,Practical Geometry,Architecture | Instrument Use,,1,2,0
Paris_1532,LATIN,1532,Paris,Practical Geometry,,Architecture | Instrument Use,1,0,2
Q4F538,GERMAN,1571,Nuremberg,Perspective | Practical Geometry,Architecture,,2,1,0
QWCWLH,"FRENCH, ITALIAN",1545,Paris,Architecture,,,1,0,0
S105XB,GERMAN,1564,Frankfurt,Instrument Use | Perspective | Practical Geometry,,,3,0,0
Strasbourg_1529,LATIN,1529,Strasbourg,,,Practical Geometry,0,0,1
TJONV6,FRENCH,1585,Paris,Arithmetic,,,1,0,0
TMVVZN,ITALIAN,1584,Milan,,,Practical Geometry,0,0,1
Tours_1593,LATIN,1593,Tours,Theoretical Mathematics,,,1,0,0
UEIZFO,FRENCH,1565,Paris,Arithmetic,,,1,0,0
VWMZ7L,LATIN,1557,Paris,Arithmetic | Astronomy | Music Theory | Theoretical Mathematics,,Practical Geometry,4,0,1
Valencia_1569,LATIN,1569,Valencia,Theoretical Mathematics,,,1,0,0
WHEESV,LATIN,1600,Pesaro,Perspective,,Architecture | Instrument Use | Practical Geometry,1,0,3
X2T7PY,LATIN,1586,Rome,Gnomonics & Horology | Instrument Construction | Instrument Use,,Practical Geometry,3,0,1
X5YBIB,FRENCH,1586,Paris,Instrument Use | Practical Geometry,,,2,0,0
XHZ2XV,LATIN,1592,Tournon,Arithmetic | Music Theory | Practical Geometry,,Astronomy,3,0,1
XXI4KS,GERMAN,1509,Nuremberg,Perspective,,Architecture | Practical Geometry,1,0,2
YCXMIJ,FRENCH,1565,Paris,Mechanics,,Practical Geometry,1,0,1
YPQYIR,FRENCH,1565,Paris,Mechanics,,,1,0,0
YQDZSW,FRENCH,1565,Paris,Mechanics,,,1,0,0
Z0K13S,LATIN,1543,Nuremberg,Astronomy,,,1,0,0
ZGOHUR,LATIN,1581,Rome,Gnomonics & Horology,Instrument Use | Practical Geometry,,1,2,0
ZN24V0,GERMAN,1543,Nuremberg,Architecture | Perspective | Practical Geometry,,Instrument Use,3,0,1
