feature_id,feature_name,rows,keys_with_rows,nonempty_rows,empty_rows,keys_with_nonempty_values
action_verbs,Verbs,510,217,466,44,173
audience,Intended Audience,224,217,54,170,47
base_content,Base Content,231,217,219,12,205
bound_with,Bound With - Description,295,217,145,150,67
bound_with_minimal,Bound With - Minimal,310,217,159,151,66
content_description,Base Content Description,227,217,120,107,110
date_in_imprint,Date in Imprint,211,211,203,8,203
dedicatee_name,Dedication,218,217,52,166,51
description_of_euclid,Euclid Description,218,217,39,179,38
destination_language,Destination Language,222,217,62,160,57
edition_details,Edition Statement,242,217,128,114,103
editor_description,Adapter Description,234,217,170,64,153
editor_name,Adapter Attribution,220,217,173,47,170
educational_authorities_references,Other Educational Authorities,274,217,98,176,41
elements_designation,Elements Designation,230,217,211,19,198
enriched_with,Enriched With,295,217,181,114,103
institutions,Institutions,229,217,99,130,87
location_in_imprint,Place in Imprint,251,211,238,13,198
origin_language,Explicit Language References,227,217,54,173,44
printing_privilege,Publishing Privileges,217,217,5,212,5
publisher_in_imprint,Publisher in Imprint,240,211,226,14,197
references_to_euclid,Euclid References,250,217,233,17,200
