title,page_count,href,exists_in_commentaria,mathematics_related,subjects
100001_Augurello1515_Chrysopoeia_GB_Noscemus,133,https://app.transkribus.org/sites/noscemus/doc/713324?colId=88639,,False,alchemy
100069_Severinus1571_Idea_medicinae_philosophicae_GB_Noscemus,463,https://app.transkribus.org/sites/noscemus/doc/726765?colId=88639,,False,medicine; philosophy
100070_Libavius1597_Alchemia_ER_Noscemus,469,https://app.transkribus.org/sites/noscemus/doc/597737?colId=88639,,False,chemistry; alchemy
100087_Beguin1612_Tyrocinium_chymicum_GB_Noscemus,213,https://app.transkribus.org/sites/noscemus/doc/971293?colId=88639,,False,chemistry
Abhandlungen der Churfürstlich-baierischen Akademie der Wissenschaften. Bd. 4. 1767 Munich.pdf,485,https://app.transkribus.org/sites/noscemus/doc/702832?colId=88639,,Unknown,multidisciplinary science
"Achrelius, Daniel - Scientiarum magnes. Turku 1690.pdf",81,https://app.transkribus.org/sites/noscemus/doc/705665?colId=88639,,Unknown,multidisciplinary science
"Acosta, José de - De natura novi orbis. Salamanca 1589.pdf",672,https://app.transkribus.org/sites/noscemus/doc/713323?colId=88639,,Unknown,physics
Acta eruditorum 1682. Leipzig 1682pdf,1061,https://app.transkribus.org/sites/noscemus/doc/720611?colId=88639,,Unknown,multidisciplinary science
Acta eruditorum 1684. Leipzig 1684.pdf,638,https://app.transkribus.org/sites/noscemus/doc/928187?colId=88639,,Unknown,multidisciplinary science
Acta eruditorum 1700. Leipzig 1700.pdf,634,https://app.transkribus.org/sites/noscemus/doc/863736?colId=88639,,Unknown,multidisciplinary science
Acta eruditorum 1705. Leipzig 1705.pdf,635,https://app.transkribus.org/sites/noscemus/doc/657725?colId=88639,,Unknown,multidisciplinary science
Acta eruditorum 1729. Leipzig 1729.pdf,588,https://app.transkribus.org/sites/noscemus/doc/640824?colId=88639,,Unknown,multidisciplinary science
Acta Helvetica physico-mathematico-medica.pdf,971,https://app.transkribus.org/sites/noscemus/doc/648164?colId=88639,,True,mathematics; physics; medicine
Acta literaria Sueciae. Vol. 1. Uppsala [1723–1725],28,https://app.transkribus.org/sites/noscemus/doc/1365811?colId=88639,,Unknown,multidisciplinary science
Acta litteraria regni Poloniae et magni ducatus Lithuaniae anno MDCCLV publicata. Trimestre primum. Warsaw 1755.pdf,76,https://app.transkribus.org/sites/noscemus/doc/720610?colId=88639,,Unknown,multidisciplinary science
Acta Societatis Regiae Scientiarum Upsaliensis ad annum MDCCXL. Stockholm 1744.pdf,154,https://app.transkribus.org/sites/noscemus/doc/720612?colId=88639,,Unknown,multidisciplinary science
"Adam, Melchior - Vitae Germanorum medicorum. Heidelberg 1620.pdf",517,https://app.transkribus.org/sites/noscemus/doc/693148?colId=88639,,False,medicine; biography
"Agardh, Carl A. - Aphorismi botanici. Lund 1817-1826.pdf",278,https://app.transkribus.org/sites/noscemus/doc/1479057?colId=88639,,False,botany
"Agerius, Nicolaus & Reusser, Johann Philipp - Diaskepsis physike de nive. Strasbourg 1627",9,https://app.transkribus.org/sites/noscemus/doc/670589?colId=88639,,Unknown,snow and ice
"Agricola, Georg - Bermannus. Basel 1530",149,https://app.transkribus.org/sites/noscemus/doc/598104?colId=88639,,Unknown,unknown
"Agricola, Georg - Bermannus. Leipzig 1546.pdf",97,https://app.transkribus.org/sites/noscemus/doc/705019?colId=88639,,Unknown,unknown
